Precinct,County,Registered Voters,"Gary Harvin, Jr. (Rep)_Election Day Votes","Gary Harvin, Jr. (Rep)_Advanced Voting Votes","Gary Harvin, Jr. (Rep)_Absentee by Mail Votes","Gary Harvin, Jr. (Rep)_Provisional Votes","Gary Harvin, Jr. (Rep)_Choice Total",Total,
Colbert,Madison,3342,542,1121,324,1,1988,1988,
Collins,Madison,647,193,180,53,0,426,426,
Comer,Madison,1441,295,421,125,0,841,841,
Danielsville,Madison,3003,320,1252,337,0,1909,1909,
Fork,Madison,566,177,100,45,0,322,322,
Harrison,Madison,610,238,155,58,0,451,451,
Hull,Madison,4376,671,1286,493,0,2450,2450,
Ila,Madison,1746,319,555,198,0,1072,1072,
Mill,Madison,1646,335,609,168,1,1113,1113,
Paoli,Madison,267,104,68,27,0,199,199,
Pittman,Madison,1949,407,606,254,0,1267,1267,
Poca,Madison,1127,296,318,115,0,729,729,
