Precinct,County,Registered Voters,Don Ferguson (Rep)_Election Day Votes,Don Ferguson (Rep)_Advanced Voting Votes,Don Ferguson (Rep)_Absentee by Mail Votes,Don Ferguson (Rep)_Provisional Votes,Don Ferguson (Rep)_Choice Total,Total,
Blue Creek,White,2352,429,846,305,0,1580,1580,
Blue Ridge,White,929,175,272,131,1,579,579,
Helen,White,609,130,158,67,0,355,355,
Mossy Creek,White,3164,648,1121,339,0,2108,2108,
Mt Yonah,White,4468,584,1707,558,2,2851,2851,
Nacoochee,White,1552,246,547,265,1,1059,1059,
Robertstown,White,407,111,120,46,0,277,277,
Shoal Creek,White,2538,465,807,253,0,1525,1525,
Tesnatee,White,1231,213,447,153,0,813,813,
Town Creek,White,1593,321,535,164,1,1021,1021,
White Creek,White,1779,368,641,202,0,1211,1211,
