Precinct,County,Registered Voters,Travis C. Turner (I) (Rep)_Election Day Votes,Travis C. Turner (I) (Rep)_Advanced Voting Votes,Travis C. Turner (I) (Rep)_Absentee by Mail Votes,Travis C. Turner (I) (Rep)_Provisional Votes,Travis C. Turner (I) (Rep)_Choice Total,Total,
Blue Creek,White,2352,421,840,315,0,1576,1576,
Blue Ridge,White,929,173,280,132,0,585,585,
Helen,White,609,128,165,65,0,358,358,
Mossy Creek,White,3164,646,1109,346,0,2101,2101,
Mt Yonah,White,4468,574,1694,556,2,2826,2826,
Nacoochee,White,1552,243,553,269,1,1066,1066,
Robertstown,White,407,113,120,47,0,280,280,
Shoal Creek,White,2538,470,815,260,0,1545,1545,
Tesnatee,White,1231,209,459,159,0,827,827,
Town Creek,White,1593,319,529,164,1,1013,1013,
White Creek,White,1779,366,641,208,0,1215,1215,
