index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Hall,Wilson,0,409,1748,1354,2,3513,89,325,156,0,570,4083,
1,Hall,Chicopee,0,333,1022,391,0,1746,83,211,78,1,373,2119,
2,Hall,Oakwood I,0,296,726,273,0,1295,74,174,57,0,305,1600,
3,Hall,Oakwood II,0,401,1440,583,0,2424,91,324,101,1,517,2941,
4,Hall,Flowery Branch I,0,419,1544,674,0,2637,102,317,91,0,510,3147,
5,Hall,Flowery Branch II,0,415,1156,435,1,2007,83,221,53,2,359,2366,
6,Hall,Roberts,0,475,1958,973,1,3407,122,404,128,0,654,4061,
7,Hall,Morgan I,0,465,1532,460,0,2457,84,284,73,0,441,2898,
8,Hall,Morgan II,0,424,1673,648,2,2747,77,359,88,0,524,3271,
9,Hall,Candler,0,554,1797,689,0,3040,162,438,121,0,721,3761,
10,Hall,Tadmore,0,592,1411,613,3,2619,185,392,136,2,715,3334,
11,Hall,Glade,0,358,1148,420,3,1929,85,280,97,1,463,2392,
12,Hall,Lula,0,495,1059,320,6,1880,127,267,70,3,467,2347,
13,Hall,Clermont,0,351,1485,348,1,2185,93,315,68,0,476,2661,
14,Hall,Quillians,0,195,1259,297,1,1752,62,251,56,0,369,2121,
15,Hall,Bark Camp,0,447,2219,751,2,3419,100,438,117,0,655,4074,
16,Hall,Chestatee,0,451,1298,575,1,2325,104,291,71,0,466,2791,
17,Hall,Fork,0,467,1158,517,1,2143,98,212,65,1,376,2519,
18,Hall,Whelchel,0,356,1665,604,0,2625,99,302,104,0,505,3130,
19,Hall,West Whelchel,0,331,1461,868,1,2661,59,228,104,0,391,3052,
20,Hall,Gainesville I,0,394,1164,671,3,2232,88,205,80,2,375,2607,
21,Hall,Gainesville II,0,234,472,444,1,1151,98,172,100,0,370,1521,
22,Hall,Gainesville III,0,477,992,451,4,1924,120,225,93,0,438,2362,
23,Hall,Gainesville IV,0,252,765,365,0,1382,49,143,64,0,256,1638,
24,Hall,Gainesville V,0,154,401,198,0,753,45,72,27,0,144,897,
25,Hall,Gillsville,0,268,315,90,0,673,72,84,21,1,178,851,
26,Hall,Big Hickory,0,334,1612,499,1,2446,73,337,67,0,477,2923,
27,Hall,Friendship I,0,507,3470,1790,2,5769,118,622,195,1,936,6705,
28,Hall,Friendship II,0,364,1197,352,1,1914,101,267,61,0,429,2343,
29,Hall,Friendship III,0,370,1792,525,2,2689,71,383,78,0,532,3221,
30,Hall,Friendship IV,0,187,1701,414,6,2308,31,279,66,1,377,2685,
