Precinct,County,Registered Voters,Chris Weidner (I) (Rep)_Election Day Votes,Chris Weidner (I) (Rep)_Advanced Voting Votes,Chris Weidner (I) (Rep)_Absentee by Mail Votes,Chris Weidner (I) (Rep)_Provisional Votes,Chris Weidner (I) (Rep)_Choice Total,Total,
Gray,Jones,0,277,1256,301,0,1834,1834,
Hawkins,Jones,0,367,833,353,0,1553,1553,
Ethridge,Jones,0,223,633,192,0,1048,1048,
Clinton,Jones,0,325,965,249,2,1541,1541,
Roberts,Jones,0,522,726,270,1,1519,1519,
Davidson,Jones,0,371,536,127,0,1034,1034,
Pope,Jones,0,355,598,164,1,1118,1118,
Barron,Jones,0,301,425,123,0,849,849,
Sanders,Jones,0,94,15,17,0,126,126,
Finney,Jones,0,621,825,285,1,1732,1732,
