index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Clarke,1A,3017,280,235,194,0,709,243,445,421,3,1112,28,14,25,0,67,1888,
1,Clarke,1B,3645,137,407,254,2,800,177,701,706,1,1585,27,33,27,1,88,2473,
2,Clarke,1C,2242,152,278,167,0,597,117,496,544,0,1157,20,28,14,0,62,1816,
3,Clarke,1D,2830,185,378,295,1,859,126,534,687,0,1347,23,20,23,0,66,2272,
4,Clarke,2A,4341,139,163,133,0,435,429,710,638,0,1777,25,25,26,1,77,2289,
5,Clarke,2B,5136,105,155,56,0,316,404,1080,709,6,2199,25,30,19,0,74,2589,
6,Clarke,3A,2938,47,102,48,1,198,234,547,426,3,1210,22,21,12,1,56,1464,
7,Clarke,3B,4122,123,256,78,2,459,228,925,553,2,1708,30,32,7,0,69,2236,
8,Clarke,4A,2072,73,191,75,1,340,169,432,316,0,917,12,21,15,0,48,1305,
9,Clarke,4B,4096,210,469,150,1,830,220,931,611,1,1763,44,39,23,0,106,2699,
10,Clarke,5A,3007,103,376,210,1,690,167,791,578,0,1536,22,31,14,0,67,2293,
11,Clarke,5B,3030,133,267,190,0,590,219,610,609,0,1438,26,32,20,1,79,2107,
12,Clarke,5C,2053,52,79,45,0,176,115,770,467,1,1353,17,16,7,0,40,1569,
13,Clarke,5D,3087,92,213,127,0,432,289,617,426,4,1336,27,19,10,0,56,1824,
14,Clarke,6A,3780,205,620,356,1,1182,177,580,587,3,1347,21,48,27,0,96,2625,
15,Clarke,6B,3865,180,456,330,0,966,204,684,722,1,1611,27,37,31,0,95,2672,
16,Clarke,6C,3129,199,464,287,0,950,138,524,542,0,1204,26,35,25,0,86,2240,
17,Clarke,6D,1701,96,146,72,0,314,103,436,364,0,903,18,17,10,0,45,1262,
18,Clarke,7A,2968,159,397,267,1,824,161,535,538,0,1234,24,32,21,0,77,2135,
19,Clarke,7B,3166,131,455,260,0,846,123,559,539,1,1222,30,39,22,1,92,2160,
20,Clarke,7C,2733,175,381,228,2,786,132,547,482,0,1161,28,30,13,0,71,2018,
21,Clarke,8A,3319,125,269,226,0,620,172,616,650,2,1440,25,22,21,1,69,2129,
22,Clarke,8B,2317,108,177,165,0,450,162,414,456,0,1032,23,17,11,0,51,1533,
23,Clarke,8C,3910,169,348,193,1,711,246,753,674,3,1676,32,31,33,0,96,2483,
