Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,calc_participation
Gay,Meriwether,411.0,85.0,106.0,29.0,0.0,220.0,21.0,16.0,32.0,0.0,69.0,289.0,70.3
Woodbury,Meriwether,1363.0,157.0,262.0,90.0,0.0,509.0,157.0,143.0,119.0,0.0,419.0,928.0,68.1
Warm Springs,Meriwether,1161.0,172.0,277.0,91.0,1.0,541.0,90.0,94.0,59.0,0.0,243.0,784.0,67.5
Durand,Meriwether,730.0,158.0,145.0,53.0,0.0,356.0,43.0,67.0,54.0,0.0,164.0,520.0,71.2
Raleigh,Meriwether,501.0,116.0,164.0,38.0,0.0,318.0,13.0,23.0,22.0,0.0,58.0,376.0,75.0
Cove,Meriwether,202.0,90.0,29.0,31.0,0.0,150.0,5.0,1.0,6.0,0.0,12.0,162.0,80.2
Blackrock,Fayette,2699.0,86.0,317.0,209.0,6.0,618.0,137.0,820.0,467.0,3.0,1427.0,2045.0,75.8
Brooks,Fayette,2567.0,535.0,970.0,308.0,2.0,1815.0,31.0,116.0,141.0,0.0,288.0,2103.0,81.9
Fayetteville East,Fayette,2147.0,84.0,352.0,173.0,3.0,612.0,96.0,491.0,266.0,2.0,855.0,1467.0,68.3
Fayetteville West,Fayette,2362.0,128.0,456.0,176.0,0.0,760.0,88.0,539.0,306.0,1.0,934.0,1694.0,71.7
Flint,Fayette,1732.0,128.0,238.0,128.0,0.0,494.0,90.0,483.0,221.0,0.0,794.0,1288.0,74.4
Rareover,Fayette,3045.0,159.0,1231.0,221.0,3.0,1614.0,51.0,501.0,164.0,0.0,716.0,2330.0,76.5
Sandy Creek,Fayette,4848.0,108.0,617.0,157.0,0.0,882.0,135.0,1117.0,392.0,0.0,1644.0,2526.0,52.1
Shakerag East,Fayette,1689.0,195.0,483.0,135.0,1.0,814.0,59.0,226.0,139.0,1.0,425.0,1239.0,73.4
Shakerag West,Fayette,1236.0,50.0,501.0,136.0,1.0,688.0,22.0,188.0,143.0,1.0,354.0,1042.0,84.3
Starrsmill,Fayette,3572.0,396.0,1168.0,398.0,0.0,1962.0,82.0,249.0,217.0,0.0,548.0,2510.0,70.3
Whitewater,Fayette,3564.0,305.0,1312.0,414.0,5.0,2036.0,73.0,473.0,290.0,6.0,842.0,2878.0,80.8
Woolsey,Fayette,2542.0,330.0,938.0,368.0,0.0,1636.0,41.0,173.0,185.0,0.0,399.0,2035.0,80.1
McIntosh,Fayette,3323.0,208.0,1195.0,341.0,1.0,1745.0,52.0,483.0,318.0,1.0,854.0,2599.0,78.2
Oak Grove,Fayette,1344.0,127.0,441.0,106.0,1.0,675.0,52.0,199.0,107.0,0.0,358.0,1033.0,76.9
Kedron,Fayette,4862.0,328.0,1370.0,380.0,1.0,2079.0,191.0,905.0,509.0,2.0,1607.0,3686.0,75.8
Aberdeen,Fayette,1805.0,134.0,622.0,181.0,0.0,937.0,48.0,261.0,113.0,0.0,422.0,1359.0,75.3
Windgate,Fayette,1011.0,119.0,339.0,69.0,2.0,529.0,32.0,148.0,85.0,0.0,265.0,794.0,78.5
Flat Creek,Fayette,2117.0,167.0,538.0,225.0,3.0,933.0,95.0,305.0,158.0,1.0,559.0,1492.0,70.5
Braelinn,Fayette,1876.0,185.0,790.0,209.0,2.0,1186.0,35.0,162.0,114.0,0.0,311.0,1497.0,79.8
Harps Crossing,Fayette,1646.0,158.0,496.0,198.0,2.0,854.0,49.0,224.0,143.0,1.0,417.0,1271.0,77.2
Willow Pond,Fayette,3100.0,217.0,743.0,258.0,7.0,1225.0,106.0,585.0,399.0,2.0,1092.0,2317.0,74.7
Dogwood,Fayette,3092.0,154.0,683.0,219.0,3.0,1059.0,37.0,329.0,158.0,0.0,524.0,1583.0,51.2
Jeff Davis,Fayette,2876.0,83.0,409.0,201.0,2.0,695.0,117.0,728.0,383.0,5.0,1233.0,1928.0,67.0
Murphy,Fayette,3224.0,159.0,758.0,336.0,4.0,1257.0,105.0,694.0,410.0,1.0,1210.0,2467.0,76.5
Fielding Ridge,Fayette,3497.0,277.0,1263.0,277.0,0.0,1817.0,86.0,532.0,346.0,0.0,964.0,2781.0,79.5
Willowbend,Fayette,2007.0,150.0,708.0,172.0,0.0,1030.0,53.0,274.0,147.0,0.0,474.0,1504.0,74.9
Camp Creek,Fayette,1895.0,164.0,706.0,185.0,1.0,1056.0,32.0,244.0,147.0,1.0,424.0,1480.0,78.1
Rising Star,Fayette,3833.0,368.0,1711.0,378.0,1.0,2458.0,81.0,531.0,286.0,2.0,900.0,3358.0,87.6
Spring Hill,Fayette,3299.0,137.0,740.0,268.0,0.0,1145.0,90.0,798.0,464.0,2.0,1354.0,2499.0,75.8
Antioch,Fayette,1956.0,252.0,464.0,179.0,1.0,896.0,105.0,266.0,191.0,0.0,562.0,1458.0,74.5
Britt David,Muscogee,2747.0,314.0,545.0,187.0,0.0,1046.0,118.0,351.0,221.0,0.0,690.0,1736.0,63.2
St Peter,Muscogee,3265.0,365.0,732.0,288.0,3.0,1388.0,137.0,400.0,309.0,0.0,846.0,2234.0,68.4
Cornerstone,Muscogee,6684.0,680.0,1542.0,541.0,0.0,2763.0,220.0,885.0,585.0,1.0,1691.0,4454.0,66.6
St Mark/Heiferhorn,Muscogee,6492.0,592.0,2138.0,672.0,6.0,3408.0,134.0,715.0,615.0,4.0,1468.0,4876.0,75.1
Wynnbrook,Muscogee,2692.0,256.0,868.0,462.0,0.0,1586.0,40.0,244.0,269.0,0.0,553.0,2139.0,79.5
St Paul/Clubview,Muscogee,5677.0,113.0,341.0,136.0,0.0,590.0,86.0,240.0,173.0,0.0,499.0,1089.0,19.2
Moon/Morningside,Muscogee,5415.0,491.0,1216.0,499.0,1.0,2207.0,209.0,658.0,490.0,0.0,1357.0,3564.0,65.8
Epworth UMC,Muscogee,4512.0,340.0,692.0,300.0,0.0,1332.0,180.0,472.0,355.0,0.0,1007.0,2339.0,51.8
Barnesville,Lamar,2546.0,112.0,286.0,99.0,0.0,497.0,169.0,436.0,355.0,0.0,960.0,1457.0,57.2
Chappell Mill V FD,Lamar,1577.0,305.0,562.0,102.0,1.0,970.0,29.0,85.0,94.0,0.0,208.0,1178.0,74.7
Senior Citizen Bldg,Lamar,1337.0,130.0,354.0,83.0,1.0,568.0,70.0,138.0,101.0,0.0,309.0,877.0,65.6
Redbone,Lamar,623.0,188.0,162.0,42.0,0.0,392.0,14.0,28.0,29.0,0.0,71.0,463.0,74.3
L C S C,Lamar,2808.0,329.0,1020.0,216.0,4.0,1569.0,66.0,200.0,146.0,1.0,413.0,1982.0,70.6
Milner,Lamar,3948.0,680.0,1392.0,296.0,1.0,2369.0,112.0,224.0,149.0,1.0,486.0,2855.0,72.3
Locust Grove,Henry,6978.0,232.0,1078.0,253.0,2.0,1565.0,344.0,1962.0,891.0,0.0,3197.0,4762.0,68.2
Westside,Henry,6971.0,147.0,333.0,136.0,1.0,617.0,519.0,1606.0,948.0,3.0,3076.0,3693.0,53.0
Lowes,Henry,9878.0,297.0,1468.0,362.0,1.0,2128.0,541.0,2591.0,1418.0,3.0,4553.0,6681.0,67.6
South Hampton,Henry,5476.0,227.0,1305.0,221.0,0.0,1753.0,252.0,1201.0,552.0,0.0,2005.0,3758.0,68.6
Wesley Lakes,Henry,6144.0,131.0,603.0,197.0,1.0,932.0,401.0,2004.0,837.0,3.0,3245.0,4177.0,68.0
Unity Grove,Henry,4850.0,170.0,779.0,165.0,1.0,1115.0,71.0,495.0,263.0,0.0,829.0,1944.0,40.1
Oakland,Henry,4508.0,213.0,949.0,293.0,0.0,1455.0,214.0,1034.0,537.0,1.0,1786.0,3241.0,71.9
Grove Park,Henry,4079.0,271.0,1040.0,176.0,0.0,1487.0,175.0,669.0,347.0,0.0,1191.0,2678.0,65.7
Lake Haven,Henry,4260.0,291.0,1054.0,274.0,0.0,1619.0,172.0,886.0,377.0,0.0,1435.0,3054.0,71.7
McDonough Central,Henry,4250.0,96.0,773.0,340.0,0.0,1209.0,203.0,1056.0,476.0,0.0,1735.0,2944.0,69.3
Hollis Hand,Troup,3554.0,462.0,1193.0,491.0,1.0,2147.0,104.0,267.0,189.0,1.0,561.0,2708.0,76.2
Administration Bldg,Troup,3907.0,177.0,374.0,152.0,4.0,707.0,352.0,548.0,409.0,5.0,1314.0,2021.0,51.7
Hammett Rd,Troup,4354.0,277.0,591.0,240.0,3.0,1111.0,388.0,761.0,417.0,3.0,1569.0,2680.0,61.6
Griggs Center,Troup,2457.0,37.0,64.0,30.0,1.0,132.0,334.0,389.0,337.0,5.0,1065.0,1197.0,48.7
West Point,Troup,2054.0,201.0,212.0,90.0,3.0,506.0,296.0,185.0,271.0,3.0,755.0,1261.0,61.4
Hogansville,Troup,3806.0,321.0,1265.0,247.0,4.0,1837.0,136.0,431.0,232.0,1.0,800.0,2637.0,69.3
East Vernon,Troup,3117.0,610.0,1047.0,339.0,4.0,2000.0,77.0,175.0,128.0,3.0,383.0,2383.0,76.5
Rosemont,Troup,3893.0,581.0,1541.0,424.0,3.0,2549.0,64.0,253.0,178.0,1.0,496.0,3045.0,78.2
McClendon,Troup,3533.0,520.0,1372.0,284.0,7.0,2183.0,99.0,300.0,166.0,1.0,566.0,2749.0,77.8
Long Cane,Troup,3249.0,616.0,967.0,238.0,3.0,1824.0,136.0,266.0,157.0,1.0,560.0,2384.0,73.4
Gardner Newman,Troup,2876.0,256.0,752.0,212.0,5.0,1225.0,161.0,467.0,204.0,1.0,833.0,2058.0,71.6
Gray Hill,Troup,1878.0,466.0,432.0,105.0,7.0,1010.0,102.0,129.0,94.0,0.0,325.0,1335.0,71.1
Highland,Troup,1686.0,125.0,311.0,95.0,0.0,531.0,101.0,292.0,163.0,2.0,558.0,1089.0,64.6
Northside,Troup,2600.0,209.0,699.0,207.0,4.0,1119.0,173.0,322.0,199.0,1.0,695.0,1814.0,69.8
Centralhatchee,Heard,1767.0,367.0,563.0,178.0,0.0,1108.0,45.0,67.0,53.0,0.0,165.0,1273.0,72.0
Cooksville-Corinth,Heard,700.0,141.0,189.0,46.0,0.0,376.0,17.0,13.0,7.0,0.0,37.0,413.0,59.0
Enon Grove,Heard,1156.0,269.0,285.0,79.0,0.0,633.0,10.0,41.0,19.0,0.0,70.0,703.0,60.8
Ephesus,Heard,1321.0,410.0,292.0,129.0,0.0,831.0,17.0,30.0,26.0,1.0,74.0,905.0,68.5
Franklin,Heard,2178.0,266.0,653.0,202.0,1.0,1122.0,53.0,129.0,121.0,0.0,303.0,1425.0,65.4
Southwest,Heard,640.0,159.0,159.0,56.0,0.0,374.0,13.0,32.0,45.0,0.0,90.0,464.0,72.5
Kansas,Carroll,1165.0,434.0,259.0,86.0,1.0,780.0,20.0,21.0,23.0,0.0,64.0,844.0,72.4
Bowdon,Carroll,3289.0,616.0,667.0,205.0,1.0,1489.0,107.0,181.0,149.0,1.0,438.0,1927.0,58.6
Sandhill,Carroll,4459.0,496.0,1330.0,253.0,2.0,2081.0,125.0,392.0,186.0,1.0,704.0,2785.0,62.5
Center Point,Carroll,1775.0,449.0,600.0,144.0,1.0,1194.0,27.0,68.0,46.0,0.0,141.0,1335.0,75.2
Mt Zion,Carroll,2641.0,624.0,666.0,171.0,0.0,1461.0,68.0,108.0,79.0,0.0,255.0,1716.0,65.0
Burwell,Carroll,1564.0,382.0,378.0,124.0,2.0,886.0,52.0,75.0,56.0,0.0,183.0,1069.0,68.4
Clem,Carroll,3695.0,450.0,1408.0,271.0,2.0,2131.0,93.0,295.0,165.0,1.0,554.0,2685.0,72.7
Bowdon Junction,Carroll,1547.0,237.0,406.0,93.0,0.0,736.0,46.0,89.0,63.0,0.0,198.0,934.0,60.4
Tyus,Carroll,1920.0,541.0,501.0,131.0,0.0,1173.0,40.0,65.0,59.0,1.0,165.0,1338.0,69.7
Fairfield,Carroll,3867.0,840.0,1068.0,282.0,0.0,2190.0,152.0,314.0,247.0,0.0,713.0,2903.0,75.1
Hulett,Carroll,2408.0,488.0,779.0,145.0,0.0,1412.0,72.0,132.0,81.0,0.0,285.0,1697.0,70.5
Bethany,Carroll,4779.0,387.0,1030.0,198.0,0.0,1615.0,181.0,556.0,268.0,1.0,1006.0,2621.0,54.8
V R County South,Carroll,2942.0,277.0,980.0,221.0,1.0,1479.0,71.0,212.0,116.0,0.0,399.0,1878.0,63.8
V R County North,Carroll,5472.0,530.0,1525.0,306.0,0.0,2361.0,160.0,520.0,324.0,0.0,1004.0,3365.0,61.5
Villa Rica City,Carroll,7250.0,419.0,1381.0,307.0,0.0,2107.0,344.0,1155.0,571.0,1.0,2071.0,4178.0,57.6
Temple County,Carroll,4354.0,636.0,1246.0,259.0,2.0,2143.0,103.0,235.0,145.0,2.0,485.0,2628.0,60.4
Temple City,Carroll,3700.0,552.0,809.0,167.0,2.0,1530.0,163.0,388.0,191.0,1.0,743.0,2273.0,61.4
Whitesburg,Carroll,2190.0,541.0,553.0,138.0,0.0,1232.0,36.0,92.0,63.0,0.0,191.0,1423.0,65.0
Roopville,Carroll,3200.0,634.0,1027.0,213.0,4.0,1878.0,57.0,125.0,110.0,0.0,292.0,2170.0,67.8
West Carrollton,Carroll,4380.0,149.0,560.0,134.0,1.0,844.0,270.0,753.0,320.0,3.0,1346.0,2190.0,50.0
Lakeshore Rec Center,Carroll,1671.0,105.0,403.0,103.0,1.0,612.0,46.0,253.0,107.0,0.0,406.0,1018.0,60.9
Bonner,Carroll,3736.0,210.0,1005.0,182.0,2.0,1399.0,131.0,596.0,216.0,0.0,943.0,2342.0,62.7
University of W GA,Carroll,2164.0,125.0,507.0,104.0,3.0,739.0,150.0,244.0,120.0,0.0,514.0,1253.0,57.9
County Admin Bldg,Carroll,2620.0,163.0,718.0,160.0,1.0,1042.0,76.0,416.0,191.0,1.0,684.0,1726.0,65.9
Tabernacle Church,Carroll,1628.0,107.0,463.0,171.0,1.0,742.0,63.0,195.0,99.0,0.0,357.0,1099.0,67.5
Burson Center,Carroll,1466.0,129.0,419.0,92.0,1.0,641.0,44.0,180.0,89.0,0.0,313.0,954.0,65.1
Old Camp Church,Carroll,2297.0,359.0,749.0,168.0,2.0,1278.0,60.0,193.0,101.0,0.0,354.0,1632.0,71.0
Oak Grove,Carroll,1668.0,295.0,474.0,90.0,0.0,859.0,33.0,126.0,71.0,0.0,230.0,1089.0,65.3
Yatesville,Upson,1347.0,352.0,358.0,69.0,0.0,779.0,60.0,69.0,104.0,0.0,233.0,1012.0,75.1
Salem,Upson,370.0,19.0,23.0,13.0,0.0,55.0,57.0,73.0,112.0,0.0,242.0,297.0,80.3
Redbone,Upson,8219.0,601.0,3440.0,643.0,2.0,4686.0,156.0,562.0,433.0,0.0,1151.0,5837.0,71.0
Town,Upson,8239.0,408.0,2224.0,510.0,2.0,3144.0,321.0,1070.0,789.0,0.0,2180.0,5324.0,64.6
1,Spalding,2260.0,53.0,51.0,35.0,12.0,151.0,246.0,265.0,275.0,35.0,821.0,972.0,43.0
2,Spalding,1956.0,37.0,43.0,20.0,9.0,109.0,267.0,260.0,268.0,15.0,810.0,919.0,47.0
3,Spalding,2774.0,257.0,856.0,317.0,155.0,1585.0,56.0,221.0,167.0,45.0,489.0,2074.0,74.8
5,Spalding,3715.0,174.0,444.0,203.0,71.0,892.0,223.0,497.0,310.0,89.0,1119.0,2011.0,54.1
6,Spalding,2438.0,63.0,138.0,84.0,11.0,296.0,242.0,348.0,298.0,14.0,902.0,1198.0,49.1
7,Spalding,1705.0,329.0,453.0,189.0,16.0,987.0,62.0,144.0,92.0,4.0,302.0,1289.0,75.6
8,Spalding,1789.0,261.0,480.0,202.0,17.0,960.0,86.0,138.0,105.0,7.0,336.0,1296.0,72.4
9,Spalding,1950.0,372.0,501.0,189.0,24.0,1086.0,43.0,76.0,78.0,7.0,204.0,1290.0,66.2
10,Spalding,1981.0,277.0,472.0,157.0,10.0,916.0,131.0,216.0,142.0,11.0,500.0,1416.0,71.5
11,Spalding,2506.0,420.0,595.0,175.0,19.0,1209.0,148.0,236.0,182.0,9.0,575.0,1784.0,71.2
12,Spalding,2163.0,435.0,619.0,220.0,27.0,1301.0,55.0,108.0,104.0,3.0,270.0,1571.0,72.6
13,Spalding,2586.0,569.0,594.0,228.0,45.0,1436.0,61.0,98.0,69.0,6.0,234.0,1670.0,64.6
14,Spalding,1985.0,364.0,285.0,137.0,20.0,806.0,117.0,111.0,101.0,6.0,335.0,1141.0,57.5
16,Spalding,4596.0,185.0,440.0,193.0,21.0,839.0,328.0,675.0,637.0,48.0,1688.0,2527.0,55.0
17,Spalding,2011.0,254.0,372.0,95.0,17.0,738.0,107.0,143.0,123.0,8.0,381.0,1119.0,55.6
19,Spalding,2664.0,398.0,663.0,253.0,15.0,1329.0,122.0,217.0,163.0,10.0,512.0,1841.0,69.1
20,Spalding,2190.0,465.0,587.0,171.0,21.0,1244.0,50.0,79.0,81.0,4.0,214.0,1458.0,66.6
21,Spalding,4716.0,351.0,1187.0,731.0,29.0,2298.0,103.0,487.0,778.0,11.0,1379.0,3677.0,78.0
Senoia,Coweta,5838.0,1022.0,1791.0,714.0,0.0,3527.0,149.0,446.0,439.0,1.0,1035.0,4562.0,78.1
Moreland,Coweta,2758.0,906.0,587.0,318.0,0.0,1811.0,110.0,92.0,160.0,0.0,362.0,2173.0,78.8
Pine Road,Coweta,2095.0,547.0,494.0,241.0,0.0,1282.0,43.0,96.0,93.0,0.0,232.0,1514.0,72.3
Dresden,Coweta,839.0,339.0,110.0,71.0,0.0,520.0,47.0,23.0,41.0,0.0,111.0,631.0,75.2
Newnan,Coweta,3478.0,343.0,359.0,203.0,0.0,905.0,302.0,425.0,487.0,0.0,1214.0,2119.0,60.9
Sharpsburg,Coweta,4526.0,880.0,1481.0,443.0,1.0,2805.0,112.0,301.0,247.0,0.0,660.0,3465.0,76.6
Fischer Road,Coweta,4328.0,699.0,1354.0,483.0,0.0,2536.0,139.0,343.0,342.0,2.0,826.0,3362.0,77.7
Cedar Creek,Coweta,5330.0,1003.0,1628.0,711.0,0.0,3342.0,125.0,370.0,411.0,0.0,906.0,4248.0,79.7
Grantville,Coweta,2572.0,687.0,366.0,178.0,1.0,1232.0,189.0,137.0,174.0,0.0,500.0,1732.0,67.3
Haralson,Coweta,2339.0,778.0,502.0,197.0,0.0,1477.0,94.0,75.0,131.0,0.0,300.0,1777.0,76.0
Welcome,Coweta,3212.0,1063.0,482.0,328.0,0.0,1873.0,134.0,124.0,189.0,0.0,447.0,2320.0,72.2
Panther Creek,Coweta,3028.0,871.0,508.0,271.0,0.0,1650.0,137.0,122.0,210.0,0.0,469.0,2119.0,70.0
Raymond,Coweta,2492.0,617.0,653.0,256.0,0.0,1526.0,90.0,121.0,142.0,0.0,353.0,1879.0,75.4
Turin,Coweta,4477.0,1039.0,1368.0,476.0,0.0,2883.0,145.0,287.0,245.0,0.0,677.0,3560.0,79.5
Smokey Road,Coweta,2559.0,426.0,343.0,184.0,0.0,953.0,210.0,249.0,273.0,1.0,733.0,1686.0,65.9
Central,Coweta,4395.0,282.0,412.0,187.0,1.0,882.0,439.0,567.0,489.0,4.0,1499.0,2381.0,54.2
Newnan Centre,Coweta,20465.0,2176.0,4699.0,1964.0,0.0,8839.0,1031.0,2721.0,2154.0,2.0,5908.0,14747.0,72.1
Greentop,Coweta,2846.0,485.0,467.0,327.0,0.0,1279.0,171.0,259.0,294.0,1.0,725.0,2004.0,70.4
Expo Center,Coweta,1974.0,477.0,362.0,256.0,0.0,1095.0,132.0,125.0,152.0,0.0,409.0,1504.0,76.2
White Oak,Coweta,4636.0,705.0,1316.0,422.0,1.0,2444.0,203.0,427.0,369.0,0.0,999.0,3443.0,74.3
Madras,Coweta,4462.0,732.0,1156.0,509.0,0.0,2397.0,174.0,495.0,418.0,4.0,1091.0,3488.0,78.2
Cannongate,Coweta,3653.0,817.0,1049.0,426.0,0.0,2292.0,116.0,254.0,226.0,0.0,596.0,2888.0,79.1
Westside,Coweta,838.0,89.0,55.0,42.0,0.0,186.0,157.0,77.0,98.0,0.0,332.0,518.0,61.8
Northside,Coweta,2285.0,546.0,362.0,274.0,0.0,1182.0,181.0,148.0,205.0,1.0,535.0,1717.0,75.1
Thomas Crossroads,Coweta,4962.0,844.0,1664.0,479.0,0.0,2987.0,144.0,367.0,297.0,0.0,808.0,3795.0,76.5
Coweta Central Library,Coweta,1723.0,277.0,611.0,166.0,0.0,1054.0,61.0,142.0,98.0,0.0,301.0,1355.0,78.6
