Precinct,County,Registered Voters,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_Choice Total,Total,calc_participation
West Berrien,Berrien,999.0,343.0,277.0,98.0,1.0,719.0,719.0,72.0
Ray City,Berrien,1946.0,368.0,615.0,152.0,1.0,1136.0,1136.0,58.4
Nashville,Berrien,6079.0,611.0,2585.0,477.0,2.0,3675.0,3675.0,60.5
Enigma,Berrien,1111.0,336.0,244.0,79.0,4.0,663.0,663.0,59.7
Alapaha,Berrien,1140.0,319.0,286.0,78.0,1.0,684.0,684.0,60.0
Hacklebarney-Cason,Pierce,3524.0,272.0,1507.0,282.0,0.0,2061.0,2061.0,58.5
Blackshear,Pierce,3207.0,296.0,1472.0,264.0,0.0,2032.0,2032.0,63.4
St Johns-Blackshear,Pierce,1611.0,140.0,829.0,142.0,0.0,1111.0,1111.0,69.0
Otter Creek,Pierce,1397.0,198.0,629.0,119.0,0.0,946.0,946.0,67.7
Patterson,Pierce,1311.0,214.0,541.0,91.0,0.0,846.0,846.0,64.5
Mershon,Pierce,478.0,36.0,253.0,53.0,0.0,342.0,342.0,71.5
Alabaha,Pierce,918.0,76.0,464.0,60.0,0.0,600.0,600.0,65.4
Sunset-Sweat,Pierce,271.0,28.0,160.0,32.0,0.0,220.0,220.0,81.2
Abbeville North 2,Wilcox,441.0,0.0,107.0,0.0,0.0,107.0,107.0,24.3
Rochelle South 4,Wilcox,1033.0,143.0,283.0,80.0,0.0,506.0,506.0,49.0
Abbeville South 5,Wilcox,1123.0,126.0,373.0,105.0,0.0,604.0,604.0,53.8
Irwinville,Irwin,1796.0,315.0,733.0,151.0,0.0,1199.0,1199.0,66.8
Ocilla,Irwin,3642.0,325.0,1310.0,249.0,3.0,1887.0,1887.0,51.8
Holt,Irwin,675.0,126.0,286.0,62.0,0.0,474.0,474.0,70.2
East,Ben Hill,3956.0,245.0,1225.0,314.0,0.0,1784.0,1784.0,45.1
West,Ben Hill,5898.0,388.0,2498.0,515.0,0.0,3401.0,3401.0,57.7
GA Bend,Charlton,509.0,222.0,58.0,42.0,0.0,322.0,322.0,63.3
St George,Charlton,661.0,212.0,135.0,50.0,1.0,398.0,398.0,60.2
American Legion,Charlton,748.0,97.0,248.0,50.0,0.0,395.0,395.0,52.8
Racepond,Charlton,266.0,36.0,71.0,14.0,1.0,122.0,122.0,45.9
Douglas,Coffee,17243.0,1353.0,5448.0,865.0,2.0,7668.0,7668.0,44.5
Ambrose,Coffee,2053.0,387.0,684.0,103.0,0.0,1174.0,1174.0,57.2
Bridgetown,Coffee,344.0,124.0,67.0,13.0,0.0,204.0,204.0,59.3
Broxton,Coffee,2398.0,384.0,814.0,91.0,2.0,1291.0,1291.0,53.8
Nicholls,Coffee,2115.0,396.0,532.0,90.0,3.0,1021.0,1021.0,48.3
West Green,Coffee,961.0,304.0,245.0,54.0,0.0,603.0,603.0,62.7
100,Ware,4740.0,217.0,680.0,519.0,4.0,1420.0,1420.0,30.0
200A,Ware,2730.0,243.0,883.0,208.0,6.0,1340.0,1340.0,49.1
200B,Ware,976.0,58.0,176.0,91.0,3.0,328.0,328.0,33.6
300,Ware,4061.0,423.0,1529.0,397.0,6.0,2355.0,2355.0,58.0
304,Ware,1269.0,197.0,431.0,80.0,1.0,709.0,709.0,55.9
400,Ware,3538.0,406.0,1521.0,368.0,6.0,2301.0,2301.0,65.0
404,Ware,373.0,157.0,71.0,34.0,1.0,263.0,263.0,70.5
405,Ware,636.0,207.0,196.0,48.0,1.0,452.0,452.0,71.1
406,Ware,1659.0,307.0,688.0,121.0,1.0,1117.0,1117.0,67.3
407,Ware,505.0,205.0,111.0,27.0,0.0,343.0,343.0,67.9
408,Ware,523.0,202.0,123.0,25.0,0.0,350.0,350.0,66.9
409,Ware,984.0,215.0,361.0,75.0,0.0,651.0,651.0,66.2
Douglas,Bacon,6720.0,477.0,3080.0,533.0,1.0,4091.0,4091.0,60.9
Pearson County,Atkinson,1802.0,239.0,713.0,83.0,0.0,1035.0,1035.0,57.4
Axson,Atkinson,742.0,194.0,249.0,27.0,1.0,471.0,471.0,63.5
Willacoochee,Atkinson,1311.0,260.0,328.0,60.0,0.0,648.0,648.0,49.4
Pearson City,Atkinson,944.0,102.0,215.0,47.0,0.0,364.0,364.0,38.6
