Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,calc_participation
Baconton,Mitchell,1129.0,212.0,271.0,84.0,0.0,567.0,567.0,50.2
Branchville,Mitchell,599.0,173.0,200.0,35.0,0.0,408.0,408.0,68.1
Camilla North,Mitchell,1996.0,159.0,401.0,209.0,0.0,769.0,769.0,38.5
Camilla South,Mitchell,3475.0,216.0,1185.0,420.0,3.0,1824.0,1824.0,52.5
Cotton,Mitchell,399.0,186.0,72.0,39.0,0.0,297.0,297.0,74.4
Hopeful,Mitchell,350.0,101.0,95.0,27.0,2.0,225.0,225.0,64.3
Hinsonton,Mitchell,134.0,78.0,20.0,7.0,0.0,105.0,105.0,78.4
Lester,Mitchell,1357.0,286.0,340.0,136.0,0.0,762.0,762.0,56.2
Pebble City,Mitchell,162.0,71.0,29.0,17.0,0.0,117.0,117.0,72.2
Pelham,Mitchell,3489.0,360.0,852.0,343.0,1.0,1556.0,1556.0,44.6
Sale City,Mitchell,384.0,145.0,57.0,35.0,0.0,237.0,237.0,61.7
Mt Pleasant,Decatur,564.0,132.0,221.0,46.0,0.0,399.0,399.0,70.7
Recovery,Decatur,678.0,174.0,157.0,102.0,2.0,435.0,435.0,64.2
Kendrick,Decatur,566.0,129.0,179.0,42.0,0.0,350.0,350.0,61.8
Climax,Decatur,975.0,213.0,352.0,74.0,2.0,641.0,641.0,65.7
Brinson,Decatur,836.0,159.0,287.0,64.0,0.0,510.0,510.0,61.0
West Bainbridge,Decatur,2238.0,178.0,739.0,171.0,1.0,1089.0,1089.0,48.7
Bainbridge-Coliseum,Decatur,5641.0,418.0,2134.0,569.0,3.0,3124.0,3124.0,55.4
BDGE-Fairgrounds,Decatur,3308.0,253.0,1058.0,257.0,1.0,1569.0,1569.0,47.4
Attapulgus,Decatur,1812.0,211.0,408.0,212.0,2.0,833.0,833.0,46.0
Anna,Baker,166.0,51.0,22.0,11.0,1.0,85.0,85.0,51.2
Elmodel,Baker,401.0,57.0,96.0,54.0,1.0,208.0,208.0,51.9
Hoggards Mill,Baker,351.0,59.0,65.0,34.0,0.0,158.0,158.0,45.0
Milford,Baker,270.0,65.0,56.0,30.0,0.0,151.0,151.0,55.9
Newton,Baker,1070.0,92.0,312.0,121.0,0.0,525.0,525.0,49.1
Blowing Cave,Grady,916.0,188.0,308.0,52.0,5.0,553.0,553.0,60.4
Cairo 4th District,Grady,2532.0,154.0,499.0,247.0,2.0,902.0,902.0,35.6
Cairo 5th District,Grady,2606.0,240.0,831.0,266.0,3.0,1340.0,1340.0,51.4
Duncanville,Grady,470.0,80.0,154.0,56.0,0.0,290.0,290.0,61.7
Higdon,Grady,854.0,207.0,179.0,106.0,0.0,492.0,492.0,57.6
Limesink,Grady,320.0,62.0,125.0,34.0,0.0,221.0,221.0,69.1
Midway,Grady,1412.0,211.0,474.0,162.0,2.0,849.0,849.0,60.1
Pine Park,Grady,1003.0,198.0,294.0,89.0,2.0,583.0,583.0,58.1
Ragan,Grady,475.0,105.0,128.0,67.0,0.0,300.0,300.0,63.2
Spence,Grady,758.0,219.0,197.0,74.0,0.0,490.0,490.0,64.6
Spring Hill,Grady,561.0,124.0,212.0,61.0,0.0,397.0,397.0,70.8
Whigham,Grady,1226.0,237.0,355.0,121.0,0.0,713.0,713.0,58.2
Woodland,Grady,2309.0,323.0,953.0,236.0,0.0,1512.0,1512.0,65.5
Leary,Calhoun,721.0,133.0,171.0,109.0,0.0,413.0,413.0,57.3
Morgan,Calhoun,662.0,99.0,225.0,92.0,0.0,416.0,416.0,62.8
Edison,Calhoun,523.0,65.0,87.0,44.0,0.0,196.0,196.0,37.5
Edison-Arlington,Calhoun,594.0,90.0,139.0,53.0,0.0,282.0,282.0,47.5
Arlington,Calhoun,684.0,88.0,135.0,78.0,0.0,301.0,301.0,44.0
