Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
Ashburn,Turner,3509.0,5.0,3.0,1.0,0.0,9.0,2.0,6.0,3.0,0.0,11.0,48.0,298.0,49.0,0.0,395.0,0.0,1.0,1.0,0.0,2.0,3.0,19.0,1.0,0.0,23.0,2.0,6.0,4.0,0.0,12.0,2.0,9.0,4.0,0.0,15.0,62.0,92.0,30.0,0.0,184.0,15.0,29.0,10.0,0.0,54.0,8.0,6.0,0.0,0.0,14.0,18.0,47.0,16.0,0.0,81.0,14.0,34.0,7.0,0.0,55.0,65.0,412.0,73.0,0.0,550.0,7.0,12.0,3.0,0.0,22.0,8.0,8.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,3.0,13.0,1.0,1.0,18.0,155.0,423.0,155.0,0.0,733.0,5.0,12.0,2.0,0.0,19.0,2219.0,63.2
Sycamore,Turner,1609.0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,46.0,274.0,35.0,0.0,355.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0,13.0,1.0,7.0,2.0,0.0,10.0,0.0,6.0,3.0,0.0,9.0,65.0,491.0,44.0,1.0,601.0,1.0,3.0,1.0,0.0,5.0,4.0,3.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,2.0,12.0,0.0,0.0,14.0,18.0,67.0,19.0,0.0,104.0,0.0,2.0,0.0,0.0,2.0,1167.0,72.5
Rebecca,Turner,464.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,41.0,59.0,6.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,66.0,78.0,15.0,0.0,159.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,6.0,13.0,10.0,0.0,29.0,1.0,0.0,3.0,0.0,4.0,331.0,71.3
Alto Park,Floyd,3360.0,3.0,3.0,1.0,0.0,7.0,1.0,3.0,1.0,0.0,5.0,127.0,458.0,130.0,4.0,719.0,0.0,2.0,3.0,0.0,5.0,8.0,15.0,4.0,0.0,27.0,3.0,3.0,2.0,0.0,8.0,6.0,19.0,3.0,0.0,28.0,19.0,32.0,18.0,0.0,69.0,6.0,8.0,5.0,0.0,19.0,5.0,9.0,3.0,0.0,17.0,4.0,16.0,4.0,0.0,24.0,12.0,35.0,14.0,0.0,61.0,168.0,603.0,157.0,6.0,934.0,3.0,7.0,1.0,0.0,11.0,1.0,14.0,5.0,0.0,20.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,5.0,21.0,5.0,0.0,31.0,47.0,193.0,186.0,1.0,427.0,1.0,7.0,1.0,0.0,9.0,2428.0,72.3
Armuchee,Floyd,1269.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,103.0,157.0,47.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,0.0,11.0,6.0,7.0,3.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,9.0,4.0,0.0,0.0,0.0,4.0,5.0,7.0,3.0,0.0,15.0,143.0,210.0,53.0,2.0,408.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,11.0,22.0,62.0,34.0,0.0,118.0,3.0,1.0,4.0,0.0,8.0,933.0,73.5
Barkers,Floyd,2355.0,4.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,136.0,350.0,88.0,3.0,577.0,2.0,2.0,0.0,0.0,4.0,10.0,13.0,0.0,0.0,23.0,2.0,4.0,1.0,0.0,7.0,9.0,18.0,1.0,0.0,28.0,4.0,13.0,3.0,0.0,20.0,5.0,5.0,1.0,0.0,11.0,5.0,11.0,1.0,0.0,17.0,0.0,2.0,2.0,0.0,4.0,4.0,14.0,10.0,0.0,28.0,209.0,521.0,97.0,3.0,830.0,2.0,3.0,1.0,0.0,6.0,6.0,5.0,2.0,0.0,13.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,12.0,16.0,3.0,0.0,31.0,23.0,62.0,64.0,0.0,149.0,0.0,1.0,1.0,0.0,2.0,1762.0,74.8
Cave Spring,Floyd,1617.0,3.0,2.0,0.0,0.0,5.0,5.0,2.0,3.0,0.0,10.0,153.0,153.0,64.0,0.0,370.0,2.0,2.0,2.0,0.0,6.0,5.0,6.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,4.0,11.0,5.0,4.0,0.0,20.0,5.0,5.0,5.0,0.0,15.0,2.0,3.0,2.0,0.0,7.0,7.0,5.0,2.0,0.0,14.0,3.0,1.0,1.0,0.0,5.0,10.0,6.0,7.0,0.0,23.0,209.0,143.0,57.0,1.0,410.0,1.0,1.0,1.0,2.0,5.0,8.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,9.0,10.0,1.0,0.0,20.0,43.0,48.0,84.0,1.0,176.0,0.0,1.0,1.0,0.0,2.0,1119.0,69.2
Chulio,Floyd,1155.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,113.0,35.0,2.0,237.0,0.0,2.0,1.0,0.0,3.0,7.0,8.0,2.0,0.0,17.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,6.0,2.0,1.0,2.0,0.0,5.0,6.0,3.0,1.0,0.0,10.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,5.0,0.0,14.0,167.0,199.0,58.0,8.0,432.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,11.0,29.0,34.0,45.0,0.0,108.0,1.0,0.0,0.0,0.0,1.0,860.0,74.5
Etowah,Floyd,4946.0,1.0,2.0,4.0,0.0,7.0,4.0,7.0,3.0,0.0,14.0,221.0,739.0,184.0,2.0,1146.0,1.0,2.0,1.0,0.0,4.0,11.0,22.0,7.0,0.0,40.0,3.0,5.0,3.0,0.0,11.0,18.0,26.0,0.0,0.0,44.0,8.0,37.0,12.0,0.0,57.0,3.0,5.0,5.0,0.0,13.0,13.0,27.0,3.0,0.0,43.0,2.0,11.0,5.0,0.0,18.0,11.0,41.0,11.0,0.0,63.0,289.0,1032.0,224.0,5.0,1550.0,2.0,8.0,1.0,0.0,11.0,9.0,13.0,7.0,0.0,29.0,0.0,6.0,0.0,0.0,6.0,1.0,5.0,1.0,0.0,7.0,12.0,31.0,1.0,0.0,44.0,74.0,285.0,250.0,3.0,612.0,4.0,5.0,3.0,0.0,12.0,3731.0,75.4
Everett Springs,Floyd,421.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,35.0,8.0,2.0,107.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,7.0,99.0,33.0,13.0,3.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,21.0,8.0,17.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,335.0,79.6
