Precinct,County,Registered Voters,Timothy G. Vaughn (I) (Rep)_Election Day Votes,Timothy G. Vaughn (I) (Rep)_Advanced Voting Votes,Timothy G. Vaughn (I) (Rep)_Absentee by Mail Votes,Timothy G. Vaughn (I) (Rep)_Provisional Votes,Timothy G. Vaughn (I) (Rep)_Choice Total,Total,calc_participation
Ailey,Montgomery,431.0,78.0,161.0,37.0,0.0,276.0,276.0,64.0
Alston,Montgomery,472.0,138.0,158.0,33.0,0.0,329.0,329.0,69.7
Higgston,Montgomery,1340.0,281.0,453.0,108.0,0.0,842.0,842.0,62.8
Kibbee,Montgomery,532.0,156.0,145.0,60.0,0.0,361.0,361.0,67.9
Mount Vernon,Montgomery,1444.0,208.0,390.0,136.0,0.0,734.0,734.0,50.8
Tarrytown,Montgomery,333.0,104.0,90.0,29.0,0.0,223.0,223.0,67.0
Uvalda,Montgomery,911.0,221.0,206.0,66.0,0.0,493.0,493.0,54.1
Courthouse Annex,Pulaski,5687.0,404.0,2425.0,422.0,1.0,3252.0,3252.0,57.2
Alamo,Wheeler,0.0,257.0,656.0,143.0,0.0,1056.0,1056.0,
Glenwood,Wheeler,0.0,278.0,365.0,105.0,0.0,748.0,748.0,
Chauncey,Dodge,412.0,150.0,67.0,28.0,0.0,245.0,245.0,59.5
Clark,Dodge,111.0,46.0,18.0,4.0,0.0,68.0,68.0,61.3
Eddin,Dodge,1037.0,206.0,297.0,85.0,0.0,588.0,588.0,56.7
Empire,Dodge,456.0,140.0,112.0,30.0,0.0,282.0,282.0,61.8
Jaybird,Dodge,212.0,67.0,32.0,14.0,1.0,114.0,114.0,53.8
Jones,Dodge,436.0,113.0,125.0,25.0,0.0,263.0,263.0,60.3
Lee,Dodge,4816.0,473.0,1502.0,420.0,3.0,2398.0,2398.0,49.8
McCranie,Dodge,293.0,98.0,66.0,21.0,0.0,185.0,185.0,63.1
Milan,Dodge,332.0,105.0,62.0,23.0,0.0,190.0,190.0,57.2
Mitchell,Dodge,333.0,101.0,84.0,18.0,1.0,204.0,204.0,61.3
Mullis,Dodge,505.0,183.0,67.0,50.0,0.0,300.0,300.0,59.4
Plainfield,Dodge,454.0,139.0,121.0,36.0,0.0,296.0,296.0,65.2
Pondtown,Dodge,689.0,203.0,136.0,60.0,0.0,399.0,399.0,57.9
Rawlins,Dodge,923.0,185.0,278.0,76.0,0.0,539.0,539.0,58.4
Vilula,Dodge,170.0,71.0,27.0,9.0,0.0,107.0,107.0,62.9
Yonker,Dodge,260.0,105.0,36.0,18.0,0.0,159.0,159.0,61.2
Fairground,Bleckley,0.0,1107.0,2991.0,755.0,1.0,4854.0,4854.0,
Helena,Telfair,969.0,129.0,295.0,51.0,5.0,480.0,480.0,49.5
Jacksonville,Telfair,628.0,165.0,122.0,47.0,0.0,334.0,334.0,53.2
Lumber-City,Telfair,963.0,174.0,179.0,69.0,0.0,422.0,422.0,43.8
McRae,Telfair,2337.0,188.0,713.0,221.0,0.0,1122.0,1122.0,48.0
Milan,Telfair,802.0,230.0,231.0,67.0,0.0,528.0,528.0,65.8
Scotland,Telfair,333.0,108.0,74.0,24.0,0.0,206.0,206.0,61.9
