Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Blackrock,Fayette,2699,80,303,203,6,592,143,837,467,4,1451,6,19,9,0,34,2077,
Brooks,Fayette,2567,526,972,290,1,1789,42,125,147,0,314,10,11,12,0,33,2136,
Europe,Fayette,3310,50,180,83,3,316,200,1208,757,13,2178,6,27,9,0,42,2536,
Fayetteville East,Fayette,2147,71,338,167,3,579,105,499,267,4,875,12,22,11,0,45,1499,
Fayetteville West,Fayette,2362,113,435,158,0,706,98,560,306,1,965,9,23,12,0,44,1715,
Flint,Fayette,1732,125,222,118,0,465,93,499,224,0,816,6,17,5,0,28,1309,
Hopeful,Fayette,2309,142,366,102,0,610,155,539,358,1,1053,11,23,7,0,41,1704,
Morning Creek,Fayette,3059,113,520,291,1,925,147,752,495,1,1395,8,23,7,0,38,2358,
Rareover,Fayette,3045,148,1205,204,2,1559,52,522,168,0,742,18,56,14,0,88,2389,
Sandy Creek,Fayette,4848,136,953,238,3,1330,177,1470,541,3,2191,13,44,18,0,75,3596,
Shakerag East,Fayette,1689,181,473,128,1,783,68,242,141,1,452,12,10,4,0,26,1261,
Shakerag West,Fayette,1236,49,480,128,1,658,21,195,146,1,363,8,23,6,0,37,1058,
Starrsmill,Fayette,3572,378,1152,371,0,1901,94,278,231,0,603,19,20,12,0,51,2555,
Whitewater,Fayette,3564,291,1284,382,2,1959,91,507,310,8,916,8,23,20,1,52,2927,
Woolsey,Fayette,2542,323,916,344,0,1583,48,191,200,0,439,16,25,6,0,47,2069,
McIntosh,Fayette,3323,202,1173,322,1,1698,57,507,329,1,894,8,25,13,0,46,2638,
Oak Grove,Fayette,1344,126,430,98,0,654,58,205,112,1,376,5,18,4,0,27,1057,
Kedron,Fayette,4862,311,1349,344,1,2005,199,919,525,3,1646,21,53,25,0,99,3750,
Aberdeen,Fayette,1805,134,616,161,0,911,43,271,128,0,442,10,18,4,0,32,1385,
Windgate,Fayette,1011,117,319,64,2,502,31,156,80,0,267,9,21,8,0,38,807,
Flat Creek,Fayette,2117,150,523,218,2,893,101,322,159,1,583,17,21,9,0,47,1523,
Braelinn,Fayette,1876,181,767,196,2,1146,38,184,109,0,331,6,17,11,0,34,1511,
Kenwood,Fayette,1014,46,68,44,0,158,97,316,203,2,618,4,3,3,0,10,786,
Banks,Fayette,1624,123,262,172,0,557,100,305,214,0,619,9,13,7,0,29,1205,
Harps Crossing,Fayette,1646,152,480,187,2,821,58,234,148,0,440,2,14,7,0,23,1284,
Willow Pond,Fayette,3100,206,726,235,7,1174,113,618,401,2,1134,14,21,19,0,54,2362,
Dogwood,Fayette,3092,216,1022,312,3,1553,87,538,296,0,921,13,29,12,0,54,2528,
Oak Ridge,Fayette,2225,130,334,182,2,648,121,502,387,6,1016,5,13,7,0,25,1689,
Jeff Davis,Fayette,2876,69,395,189,4,657,123,743,385,6,1257,12,22,8,0,42,1956,
Murphy,Fayette,3224,153,739,320,3,1215,103,711,413,1,1228,12,26,8,0,46,2489,
Fielding Ridge,Fayette,3497,255,1218,254,0,1727,96,579,357,0,1032,23,32,10,0,65,2824,
Willowbend,Fayette,2007,139,674,159,0,972,61,303,149,0,513,12,21,9,0,42,1527,
Camp Creek,Fayette,1895,155,688,179,1,1023,42,257,158,1,458,6,24,9,0,39,1520,
Rising Star,Fayette,3833,362,1659,353,1,2375,87,586,304,1,978,13,41,21,1,76,3429,
Spring Hill,Fayette,3299,127,721,245,0,1093,96,827,475,2,1400,8,24,10,0,42,2535,
Antioch,Fayette,1956,251,450,164,1,866,99,276,196,0,571,15,18,6,0,39,1476,
