Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
1A,Whitfield,2533,156,299,155,3,613,156,293,153,0,602,23,25,8,0,56,1271,
2A,Whitfield,3090,316,859,240,5,1420,128,297,168,0,593,21,38,11,0,70,2083,
3A,Whitfield,2221,222,553,197,0,972,93,238,131,0,462,16,26,11,0,53,1487,
4A,Whitfield,2586,249,706,208,0,1163,125,297,170,1,593,22,33,16,0,71,1827,
5A,Whitfield,2238,112,135,48,2,297,202,325,149,3,679,20,26,6,0,52,1028,
6A,Whitfield,1690,90,101,37,0,228,188,227,86,2,503,14,18,6,0,38,769,
AN,Whitfield,2474,217,330,81,4,632,139,288,125,1,553,26,16,8,0,50,1235,
CA,Whitfield,1953,433,360,91,1,885,77,91,53,2,223,22,17,6,0,45,1153,
CO,Whitfield,1431,416,296,79,6,797,54,53,52,0,159,13,7,4,0,24,980,
DG,Whitfield,3295,488,755,238,4,1485,163,268,167,0,598,38,32,17,0,87,2170,
ES,Whitfield,1702,221,272,76,0,569,86,131,83,0,300,15,16,6,0,37,906,
FI,Whitfield,2146,361,427,94,2,884,106,191,84,0,381,22,15,11,0,48,1313,
GL,Whitfield,2510,314,467,134,1,916,181,247,133,1,562,24,23,7,0,54,1532,
LT,Whitfield,1148,265,380,68,1,714,17,51,24,1,93,9,11,1,0,21,828,
MC,Whitfield,1659,435,449,93,1,978,40,62,45,0,147,27,13,5,0,45,1170,
NI,Whitfield,2456,567,607,163,1,1338,77,99,72,0,248,26,15,5,1,47,1633,
PG,Whitfield,4721,555,1310,363,3,2231,201,355,230,2,788,42,54,17,2,115,3134,
TH,Whitfield,3836,655,1039,264,2,1960,102,216,159,0,477,25,42,14,0,81,2518,
TI,Whitfield,775,247,122,28,0,397,33,21,20,1,75,8,6,3,0,17,489,
TR,Whitfield,1335,317,419,108,0,844,35,45,44,0,124,12,16,4,0,32,1000,
UT,Whitfield,1053,333,239,69,0,641,39,27,33,0,99,16,3,2,0,21,761,
VA,Whitfield,5250,872,1504,372,1,2749,164,374,215,1,754,47,43,21,0,111,3614,
WS,Whitfield,2647,456,758,229,3,1446,67,198,104,1,370,27,18,10,0,55,1871,
