Precinct,County,Registered Voters,Eric J. Levett (I) (Dem)_Election Day Votes,Eric J. Levett (I) (Dem)_Advanced Voting Votes,Eric J. Levett (I) (Dem)_Absentee by Mail Votes,Eric J. Levett (I) (Dem)_Provisional Votes,Eric J. Levett (I) (Dem)_Choice Total,Total,
BA,Rockdale,4803,386,1659,770,1,2816,2816,
BT,Rockdale,4007,392,912,486,2,1792,1792,
CO,Rockdale,3862,347,1089,478,2,1916,1916,
FI,Rockdale,6328,418,2330,1166,0,3914,3914,
FS,Rockdale,4038,262,1399,719,0,2380,2380,
HC,Rockdale,2411,186,766,365,0,1317,1317,
HI,Rockdale,3515,236,1167,540,0,1943,1943,
LA,Rockdale,2001,168,485,378,0,1031,1031,
LO,Rockdale,3943,385,1263,671,0,2319,2319,
MA,Rockdale,3180,301,957,462,1,1721,1721,
MI,Rockdale,4226,309,1357,624,4,2294,2294,
OT,Rockdale,6135,427,1975,922,4,3328,3328,
RO,Rockdale,4633,319,1614,708,1,2642,2642,
SM,Rockdale,4308,256,1683,745,5,2689,2689,
SP,Rockdale,4781,320,1871,766,2,2959,2959,
ST,Rockdale,3334,191,1142,551,3,1887,1887,
