Precinct,County,Registered Voters,Janice Morris (Dem)_Election Day Votes,Janice Morris (Dem)_Advanced Voting Votes,Janice Morris (Dem)_Absentee by Mail Votes,Janice Morris (Dem)_Provisional Votes,Janice Morris (Dem)_Choice Total,Total,
BA,Rockdale,4803,375,1615,784,1,2775,2775,
BT,Rockdale,4007,381,867,468,2,1718,1718,
CO,Rockdale,3862,345,1089,478,2,1914,1914,
FI,Rockdale,6328,415,2347,1172,0,3934,3934,
FS,Rockdale,4038,257,1399,706,0,2362,2362,
HC,Rockdale,2411,183,734,357,0,1274,1274,
HI,Rockdale,3515,231,1155,543,0,1929,1929,
LA,Rockdale,2001,169,474,371,0,1014,1014,
LO,Rockdale,3943,375,1238,663,0,2276,2276,
MA,Rockdale,3180,285,935,463,1,1684,1684,
MI,Rockdale,4226,314,1366,622,4,2306,2306,
OT,Rockdale,6135,433,1978,911,4,3326,3326,
RO,Rockdale,4633,320,1590,708,1,2619,2619,
SM,Rockdale,4308,253,1636,734,4,2627,2627,
SP,Rockdale,4781,327,1847,756,2,2932,2932,
ST,Rockdale,3334,192,1096,532,3,1823,1823,
