Precinct,County,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
303,Richmond,1417.0,169.0,467.0,212.0,1.0,849.0,34.0,138.0,117.0,0.0,289.0,1138.0,80.3,849.0,289.0
304,Richmond,365.0,56.0,68.0,51.0,0.0,175.0,13.0,45.0,41.0,0.0,99.0,274.0,75.1,175.0,99.0
305,Richmond,428.0,46.0,169.0,96.0,1.0,312.0,9.0,33.0,32.0,0.0,74.0,386.0,90.2,312.0,74.0
306,Richmond,3934.0,223.0,408.0,305.0,0.0,936.0,273.0,800.0,529.0,3.0,1605.0,2541.0,64.6,936.0,1605.0
307,Richmond,1642.0,181.0,385.0,200.0,0.0,766.0,70.0,167.0,189.0,0.0,426.0,1192.0,72.6,766.0,426.0
308,Richmond,622.0,45.0,76.0,42.0,0.0,163.0,44.0,101.0,71.0,1.0,217.0,380.0,61.1,163.0,217.0
309,Richmond,3340.0,81.0,160.0,101.0,1.0,343.0,310.0,1072.0,719.0,2.0,2103.0,2446.0,73.2,343.0,2103.0
310,Richmond,5163.0,237.0,396.0,198.0,0.0,831.0,412.0,1345.0,936.0,3.0,2696.0,3527.0,68.3,831.0,2696.0
401,Richmond,2093.0,36.0,64.0,28.0,0.0,128.0,223.0,678.0,484.0,0.0,1385.0,1513.0,72.3,128.0,1385.0
402,Richmond,3311.0,83.0,85.0,61.0,1.0,230.0,409.0,516.0,528.0,3.0,1456.0,1686.0,50.9,230.0,1456.0
404,Richmond,1748.0,44.0,65.0,59.0,0.0,168.0,227.0,446.0,329.0,4.0,1006.0,1174.0,67.2,168.0,1006.0
405,Richmond,4424.0,55.0,137.0,106.0,0.0,298.0,337.0,1438.0,1082.0,3.0,2860.0,3158.0,71.4,298.0,2860.0
406,Richmond,3221.0,60.0,98.0,73.0,1.0,232.0,324.0,989.0,773.0,4.0,2090.0,2322.0,72.1,232.0,2090.0
501,Richmond,3549.0,67.0,116.0,111.0,0.0,294.0,363.0,711.0,731.0,4.0,1809.0,2103.0,59.3,294.0,1809.0
502,Richmond,4138.0,83.0,119.0,75.0,0.0,277.0,468.0,925.0,857.0,8.0,2258.0,2535.0,61.3,277.0,2258.0
503,Richmond,4021.0,101.0,194.0,118.0,1.0,414.0,365.0,883.0,743.0,4.0,1995.0,2409.0,59.9,414.0,1995.0
504,Richmond,2339.0,141.0,116.0,93.0,1.0,351.0,247.0,358.0,280.0,5.0,890.0,1241.0,53.1,351.0,890.0
506,Richmond,416.0,10.0,43.0,14.0,0.0,67.0,45.0,74.0,41.0,2.0,162.0,229.0,55.0,67.0,162.0
507,Richmond,968.0,47.0,73.0,47.0,0.0,167.0,130.0,201.0,125.0,1.0,457.0,624.0,64.5,167.0,457.0
509,Richmond,2172.0,62.0,88.0,69.0,2.0,221.0,199.0,597.0,422.0,3.0,1221.0,1442.0,66.4,221.0,1221.0
601,Richmond,3988.0,152.0,261.0,124.0,6.0,543.0,335.0,795.0,537.0,11.0,1678.0,2221.0,55.7,543.0,1678.0
603,Richmond,3570.0,394.0,407.0,274.0,0.0,1075.0,290.0,455.0,391.0,2.0,1138.0,2213.0,62.0,1075.0,1138.0
604,Richmond,1811.0,159.0,90.0,80.0,0.0,329.0,182.0,300.0,217.0,0.0,699.0,1028.0,56.8,329.0,699.0
605,Richmond,3880.0,240.0,333.0,232.0,0.0,805.0,316.0,629.0,510.0,3.0,1458.0,2263.0,58.3,805.0,1458.0
607,Richmond,1812.0,22.0,44.0,36.0,0.0,102.0,188.0,530.0,400.0,1.0,1119.0,1221.0,67.4,102.0,1119.0
608,Richmond,1472.0,246.0,242.0,120.0,0.0,608.0,87.0,177.0,136.0,1.0,401.0,1009.0,68.5,608.0,401.0
701,Richmond,2403.0,310.0,580.0,294.0,0.0,1184.0,111.0,246.0,265.0,2.0,624.0,1808.0,75.2,1184.0,624.0
702,Richmond,1943.0,294.0,430.0,195.0,0.0,919.0,114.0,199.0,155.0,0.0,468.0,1387.0,71.4,919.0,468.0
703,Richmond,4644.0,383.0,629.0,295.0,0.0,1307.0,335.0,728.0,460.0,6.0,1529.0,2836.0,61.1,1307.0,1529.0
705,Richmond,2276.0,209.0,438.0,318.0,2.0,967.0,127.0,321.0,240.0,1.0,689.0,1656.0,72.8,967.0,689.0
706,Richmond,3315.0,258.0,882.0,381.0,0.0,1521.0,116.0,438.0,357.0,2.0,913.0,2434.0,73.4,1521.0,913.0
707,Richmond,2122.0,162.0,250.0,108.0,1.0,521.0,209.0,408.0,211.0,2.0,830.0,1351.0,63.7,521.0,830.0
708,Richmond,305.0,22.0,113.0,34.0,1.0,170.0,7.0,37.0,18.0,0.0,62.0,232.0,76.1,170.0,62.0
709,Richmond,576.0,49.0,113.0,55.0,0.0,217.0,28.0,74.0,82.0,0.0,184.0,401.0,69.6,217.0,184.0
801,Richmond,523.0,153.0,42.0,39.0,1.0,235.0,39.0,30.0,46.0,0.0,115.0,350.0,66.9,235.0,115.0
801B,Richmond,523.0,193.0,29.0,29.0,0.0,251.0,35.0,19.0,57.0,0.0,111.0,362.0,69.2,251.0,111.0
802,Richmond,3251.0,690.0,416.0,231.0,2.0,1339.0,164.0,247.0,295.0,2.0,708.0,2047.0,63.0,1339.0,708.0
803,Richmond,252.0,10.0,22.0,4.0,0.0,36.0,24.0,26.0,25.0,1.0,76.0,112.0,44.4,36.0,76.0
804,Richmond,2096.0,197.0,264.0,101.0,0.0,562.0,145.0,393.0,263.0,0.0,801.0,1363.0,65.0,562.0,801.0
804H,Richmond,2863.0,370.0,425.0,227.0,1.0,1023.0,175.0,390.0,317.0,4.0,886.0,1909.0,66.7,1023.0,886.0
805,Richmond,798.0,62.0,81.0,32.0,0.0,175.0,69.0,189.0,110.0,1.0,369.0,544.0,68.2,175.0,369.0
806,Richmond,1212.0,209.0,208.0,93.0,0.0,510.0,72.0,129.0,105.0,1.0,307.0,817.0,67.4,510.0,307.0
807,Richmond,1578.0,79.0,108.0,55.0,0.0,242.0,134.0,306.0,241.0,1.0,682.0,924.0,58.6,242.0,682.0
808,Richmond,2366.0,304.0,383.0,183.0,0.0,870.0,159.0,363.0,281.0,1.0,804.0,1674.0,70.8,870.0,804.0
809,Richmond,879.0,8.0,22.0,21.0,0.0,51.0,80.0,309.0,185.0,2.0,576.0,627.0,71.3,51.0,576.0
810,Richmond,425.0,57.0,95.0,25.0,0.0,177.0,10.0,68.0,55.0,0.0,133.0,310.0,72.9,177.0,133.0
Kiokee Baptist Church,Columbia,2541.0,452.0,1139.0,197.0,0.0,1788.0,45.0,136.0,96.0,0.0,277.0,2065.0,81.3,1788.0,277.0
Lewis Methodist Church,Columbia,3737.0,439.0,1121.0,295.0,1.0,1856.0,117.0,534.0,346.0,1.0,998.0,2854.0,76.4,1856.0,998.0
Woodlawn Baptist Church,Columbia,1290.0,166.0,448.0,120.0,0.0,734.0,36.0,146.0,80.0,0.0,262.0,996.0,77.2,734.0,262.0
Patriots Park,Columbia,4046.0,367.0,1381.0,208.0,0.0,1956.0,126.0,639.0,315.0,0.0,1080.0,3036.0,75.0,1956.0,1080.0
New Life Church,Columbia,4438.0,352.0,972.0,196.0,1.0,1521.0,229.0,989.0,391.0,2.0,1611.0,3132.0,70.6,1521.0,1611.0
Harlem Branch Library,Columbia,2642.0,364.0,872.0,192.0,2.0,1430.0,76.0,233.0,117.0,0.0,426.0,1856.0,70.2,1430.0,426.0
Harlem Senior Center,Columbia,1819.0,314.0,473.0,79.0,0.0,866.0,111.0,221.0,168.0,0.0,500.0,1366.0,75.1,866.0,500.0
Second Mt Moriah Baptist Church,Columbia,1027.0,168.0,404.0,76.0,1.0,649.0,21.0,73.0,43.0,0.0,137.0,786.0,76.5,649.0,137.0
Bessie Thomas Center,Columbia,799.0,109.0,368.0,64.0,2.0,543.0,13.0,42.0,17.0,0.0,72.0,615.0,77.0,543.0,72.0
Philadelphia Church,Columbia,2355.0,221.0,642.0,131.0,1.0,995.0,113.0,404.0,180.0,0.0,697.0,1692.0,71.8,995.0,697.0
Liberty Park-Grovetown,Columbia,3410.0,297.0,663.0,138.0,2.0,1100.0,209.0,595.0,316.0,2.0,1122.0,2222.0,65.2,1100.0,1122.0
Grovetown Methodist Church,Columbia,2736.0,203.0,319.0,122.0,1.0,645.0,245.0,503.0,246.0,6.0,1000.0,1645.0,60.1,645.0,1000.0
G A Apostolic Church,Columbia,1701.0,246.0,376.0,130.0,0.0,752.0,79.0,239.0,132.0,1.0,451.0,1203.0,70.7,752.0,451.0
Grovetown Public Safety Station,Columbia,23696.0,259.0,687.0,160.0,1.0,1107.0,210.0,759.0,378.0,0.0,1347.0,2454.0,10.4,1107.0,1347.0
Grove First Baptist Church,Columbia,2954.0,187.0,550.0,91.0,1.0,829.0,152.0,649.0,308.0,0.0,1109.0,1938.0,65.6,829.0,1109.0
Eubank-Blanchard Center,Columbia,1576.0,385.0,495.0,79.0,1.0,960.0,76.0,102.0,75.0,0.0,253.0,1213.0,77.0,960.0,253.0
Second Mt Carmel Baptist Church,Columbia,731.0,99.0,138.0,25.0,0.0,262.0,126.0,74.0,83.0,0.0,283.0,545.0,74.6,262.0,283.0
Damascus Baptist Church,Columbia,1023.0,352.0,294.0,73.0,1.0,720.0,36.0,41.0,25.0,0.0,102.0,822.0,80.4,720.0,102.0
Col Cty Bd of Edu,Columbia,2143.0,230.0,716.0,161.0,3.0,1110.0,91.0,272.0,157.0,0.0,520.0,1630.0,76.1,1110.0,520.0
Greenbrier High,Columbia,3369.0,508.0,1232.0,245.0,1.0,1986.0,89.0,346.0,245.0,0.0,680.0,2666.0,79.1,1986.0,680.0
Parkway Baptist Church,Columbia,4596.0,605.0,1528.0,283.0,2.0,2418.0,150.0,711.0,327.0,1.0,1189.0,3607.0,78.5,2418.0,1189.0
Riverview Church,Columbia,1320.0,159.0,466.0,108.0,0.0,733.0,50.0,162.0,122.0,0.0,334.0,1067.0,80.8,733.0,334.0
Grace Baptist Church,Columbia,3558.0,425.0,1022.0,187.0,0.0,1634.0,125.0,617.0,328.0,0.0,1070.0,2704.0,76.0,1634.0,1070.0
Christ Sanctified,Columbia,2521.0,347.0,763.0,189.0,1.0,1300.0,108.0,266.0,166.0,0.0,540.0,1840.0,73.0,1300.0,540.0
Blanchard Park,Columbia,2026.0,242.0,430.0,157.0,2.0,831.0,111.0,281.0,166.0,0.0,558.0,1389.0,68.6,831.0,558.0
Belair Baptist Church,Columbia,2440.0,350.0,608.0,183.0,1.0,1142.0,126.0,316.0,198.0,1.0,641.0,1783.0,73.1,1142.0,641.0
Marvin Methodist,Columbia,1937.0,339.0,396.0,153.0,0.0,888.0,122.0,179.0,172.0,0.0,473.0,1361.0,70.3,888.0,473.0
Westside Baptist Church,Columbia,1516.0,286.0,417.0,194.0,0.0,897.0,71.0,113.0,124.0,0.0,308.0,1205.0,79.5,897.0,308.0
Trinity Baptist Church,Columbia,2836.0,459.0,789.0,278.0,2.0,1528.0,114.0,235.0,166.0,1.0,516.0,2044.0,72.1,1528.0,516.0
Abilene Baptist,Columbia,2046.0,312.0,506.0,180.0,0.0,998.0,91.0,188.0,151.0,0.0,430.0,1428.0,69.8,998.0,430.0
Augusta Christian,Columbia,2179.0,321.0,543.0,197.0,1.0,1062.0,126.0,225.0,183.0,0.0,534.0,1596.0,73.2,1062.0,534.0
Savannah Rapids Pavilion,Columbia,1549.0,141.0,629.0,285.0,0.0,1055.0,30.0,120.0,158.0,0.0,308.0,1363.0,88.0,1055.0,308.0
Gospel Water Branch,Columbia,2096.0,267.0,676.0,169.0,2.0,1114.0,80.0,250.0,206.0,1.0,537.0,1651.0,78.8,1114.0,537.0
Genesis Church,Columbia,1830.0,256.0,559.0,195.0,0.0,1010.0,71.0,174.0,159.0,1.0,405.0,1415.0,77.3,1010.0,405.0
Stevens Creek Church,Columbia,2760.0,402.0,974.0,305.0,1.0,1682.0,74.0,284.0,244.0,0.0,602.0,2284.0,82.8,1682.0,602.0
Mtz Col Fire Hdqtr,Columbia,1291.0,205.0,239.0,80.0,0.0,524.0,107.0,114.0,83.0,1.0,305.0,829.0,64.2,524.0,305.0
Lakeside Middle,Columbia,1923.0,269.0,516.0,108.0,0.0,893.0,103.0,224.0,133.0,1.0,461.0,1354.0,70.4,893.0,461.0
Martinez Baptist,Columbia,1962.0,340.0,348.0,123.0,0.0,811.0,142.0,215.0,136.0,0.0,493.0,1304.0,66.5,811.0,493.0
Gold Cross EMS,Columbia,1889.0,239.0,483.0,318.0,3.0,1043.0,66.0,144.0,113.0,1.0,324.0,1367.0,72.4,1043.0,324.0
Church of Our Savior,Columbia,2310.0,323.0,494.0,207.0,2.0,1026.0,151.0,243.0,214.0,2.0,610.0,1636.0,70.8,1026.0,610.0
West Acres Baptist,Columbia,2424.0,308.0,763.0,180.0,1.0,1252.0,92.0,257.0,199.0,0.0,548.0,1800.0,74.3,1252.0,548.0
Journey Comm Church,Columbia,1268.0,167.0,516.0,158.0,3.0,844.0,34.0,103.0,77.0,0.0,214.0,1058.0,83.4,844.0,214.0
Wesley Methodist,Columbia,2434.0,334.0,833.0,209.0,3.0,1379.0,90.0,278.0,147.0,1.0,516.0,1895.0,77.9,1379.0,516.0
Col Cty Main Library,Columbia,2106.0,204.0,699.0,158.0,0.0,1061.0,56.0,268.0,160.0,1.0,485.0,1546.0,73.4,1061.0,485.0
Christ Church Presbyterian,Columbia,2081.0,293.0,766.0,159.0,1.0,1219.0,61.0,219.0,147.0,1.0,428.0,1647.0,79.1,1219.0,428.0
Blue Ridge Elementary,Columbia,2301.0,284.0,629.0,162.0,0.0,1075.0,133.0,272.0,157.0,1.0,563.0,1638.0,71.2,1075.0,563.0
Christ The King Luth Church,Columbia,2148.0,202.0,777.0,261.0,1.0,1241.0,48.0,237.0,197.0,0.0,482.0,1723.0,80.2,1241.0,482.0
Alexander,Burke,389.0,85.0,61.0,16.0,0.0,162.0,24.0,15.0,65.0,0.0,104.0,266.0,68.4,162.0,104.0
Four Points,Burke,2558.0,458.0,496.0,144.0,0.0,1098.0,115.0,222.0,147.0,0.0,484.0,1582.0,61.8,1098.0,484.0
Girard,Burke,733.0,110.0,82.0,41.0,0.0,233.0,96.0,55.0,82.0,0.0,233.0,466.0,63.6,233.0,233.0
Gough,Burke,434.0,43.0,59.0,17.0,0.0,119.0,47.0,38.0,93.0,0.0,178.0,297.0,68.4,119.0,178.0
Greenscut,Burke,1036.0,143.0,223.0,45.0,0.0,411.0,83.0,94.0,84.0,0.0,261.0,672.0,64.9,411.0,261.0
Keysville,Burke,476.0,63.0,42.0,14.0,0.0,119.0,98.0,11.0,32.0,0.0,141.0,260.0,54.6,119.0,141.0
Midville,Burke,492.0,91.0,20.0,12.0,0.0,123.0,87.0,25.0,63.0,0.0,175.0,298.0,60.6,123.0,175.0
Munnerlyn,Burke,299.0,63.0,46.0,6.0,0.0,115.0,22.0,26.0,28.0,0.0,76.0,191.0,63.9,115.0,76.0
Sardis,Burke,1049.0,208.0,121.0,60.0,0.0,389.0,124.0,76.0,48.0,0.0,248.0,637.0,60.7,389.0,248.0
Scotts Crossroads,Burke,294.0,39.0,18.0,5.0,0.0,62.0,36.0,40.0,45.0,0.0,121.0,183.0,62.2,62.0,121.0
Telfair,Burke,1121.0,150.0,177.0,56.0,0.0,383.0,67.0,120.0,113.0,0.0,300.0,683.0,60.9,383.0,300.0
St Clair,Burke,442.0,70.0,82.0,24.0,0.0,176.0,36.0,37.0,59.0,0.0,132.0,308.0,69.7,176.0,132.0
Vidette,Burke,313.0,69.0,22.0,13.0,0.0,104.0,42.0,18.0,41.0,0.0,101.0,205.0,65.5,104.0,101.0
North Waynesboro,Burke,2949.0,84.0,340.0,80.0,0.0,504.0,273.0,484.0,486.0,0.0,1243.0,1747.0,59.2,504.0,1243.0
South Waynesboro,Burke,3290.0,224.0,924.0,171.0,0.0,1319.0,215.0,442.0,304.0,0.0,961.0,2280.0,69.3,1319.0,961.0
Blakeney,Burke,681.0,34.0,120.0,11.0,0.0,165.0,71.0,87.0,70.0,0.0,228.0,393.0,57.7,165.0,228.0
