Precinct,County,Registered Voters,Matt Barton (I) (Rep)_Election Day Votes,Matt Barton (I) (Rep)_Advanced Voting Votes,Matt Barton (I) (Rep)_Absentee by Mail Votes,Matt Barton (I) (Rep)_Provisional Votes,Matt Barton (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Sugar Valley,Gordon,1471.0,443.0,371.0,104.0,1.0,919.0,919.0,62.5,919.0
Plainville,Gordon,2044.0,557.0,477.0,164.0,3.0,1201.0,1201.0,58.8,1201.0
Sonoraville,Gordon,5380.0,690.0,1048.0,243.0,1.0,1982.0,1982.0,36.8,1982.0
Pine Chapel,Gordon,1071.0,329.0,270.0,69.0,0.0,668.0,668.0,62.4,668.0
Oostanaula,Gordon,667.0,228.0,124.0,71.0,0.0,423.0,423.0,63.4,423.0
Gordon County,Gordon,6423.0,906.0,2074.0,559.0,2.0,3541.0,3541.0,55.1,3541.0
Calhoun City,Gordon,9532.0,1136.0,3050.0,897.0,1.0,5084.0,5084.0,53.3,5084.0
Lily Pond,Gordon,1914.0,382.0,604.0,170.0,0.0,1156.0,1156.0,60.4,1156.0
Red Bud,Gordon,2965.0,659.0,957.0,189.0,1.0,1806.0,1806.0,60.9,1806.0
Resaca,Gordon,1532.0,418.0,346.0,119.0,1.0,884.0,884.0,57.7,884.0
Southwest,Murray,3215.0,702.0,839.0,216.0,0.0,1757.0,1757.0,54.7,1757.0
