Precinct,County,Registered Voters,George E. Smith (I)_Election Day Votes,George E. Smith (I)_Advanced Voting Votes,George E. Smith (I)_Absentee by Mail Votes,George E. Smith (I)_Provisional Votes,George E. Smith (I)_Choice Total,Total,Fred Dilbeck (I)_Election Day Votes,Fred Dilbeck (I)_Advanced Voting Votes,Fred Dilbeck (I)_Absentee by Mail Votes,Fred Dilbeck (I)_Provisional Votes,Fred Dilbeck (I)_Choice Total,Abie Baker_Election Day Votes,Abie Baker_Advanced Voting Votes,Abie Baker_Absentee by Mail Votes,Abie Baker_Provisional Votes,Abie Baker_Choice Total,calc_participation,Ind_total,Ind_steal
Colbert,Madison,3342.0,533.0,1095.0,341.0,1.0,1970.0,1970.0,,,,,,,,,,,58.9,,
Collins,Madison,647.0,190.0,177.0,54.0,0.0,421.0,421.0,,,,,,,,,,,65.1,,
Comer,Madison,1441.0,295.0,409.0,128.0,0.0,832.0,832.0,,,,,,,,,,,57.7,,
Danielsville,Madison,3003.0,307.0,1215.0,342.0,0.0,1864.0,1864.0,,,,,,,,,,,62.1,,
Fork,Madison,566.0,175.0,100.0,46.0,0.0,321.0,321.0,,,,,,,,,,,56.7,,
Harrison,Madison,610.0,224.0,146.0,56.0,0.0,426.0,426.0,,,,,,,,,,,69.8,,
Hull,Madison,4376.0,648.0,1251.0,525.0,0.0,2424.0,2424.0,,,,,,,,,,,55.4,,
Ila,Madison,1746.0,308.0,540.0,196.0,0.0,1044.0,1044.0,,,,,,,,,,,59.8,,
Mill,Madison,1646.0,323.0,594.0,170.0,1.0,1088.0,1088.0,,,,,,,,,,,66.1,,
Paoli,Madison,267.0,100.0,63.0,26.0,0.0,189.0,189.0,,,,,,,,,,,70.8,,
Pittman,Madison,1949.0,394.0,587.0,256.0,0.0,1237.0,1237.0,,,,,,,,,,,63.5,,
Poca,Madison,1127.0,281.0,310.0,119.0,0.0,710.0,710.0,,,,,,,,,,,63.0,,
Carnesville,Franklin,2382.0,,,,,,1580.0,263.0,1068.0,249.0,0.0,1580.0,,,,,,66.3,,
West Franklin,Franklin,1764.0,,,,,,1063.0,319.0,560.0,184.0,0.0,1063.0,,,,,,60.3,,
Northeast Franklin,Franklin,2935.0,,,,,,1820.0,455.0,1007.0,356.0,2.0,1820.0,,,,,,62.0,,
Lavonia,Franklin,2355.0,,,,,,1389.0,357.0,778.0,254.0,0.0,1389.0,,,,,,59.0,,
Canon,Franklin,1244.0,,,,,,795.0,282.0,395.0,118.0,0.0,795.0,,,,,,63.9,,
Royston,Franklin,2034.0,,,,,,1221.0,313.0,646.0,262.0,0.0,1221.0,,,,,,60.0,,
Southwest Franklin,Franklin,2432.0,,,,,,1546.0,398.0,921.0,227.0,0.0,1546.0,,,,,,63.6,,
Hartwell,Hart,6451.0,,,,,,3774.0,,,,,,581.0,2388.0,804.0,1.0,3774.0,58.5,,
Goldmine,Hart,1901.0,,,,,,1191.0,,,,,,366.0,620.0,205.0,0.0,1191.0,62.7,,
Cokesbury,Hart,1162.0,,,,,,639.0,,,,,,183.0,334.0,122.0,0.0,639.0,55.0,,
Reed Creek,Hart,2990.0,,,,,,1983.0,,,,,,463.0,1147.0,372.0,1.0,1983.0,66.3,,
Bowersville,Hart,1395.0,,,,,,823.0,,,,,,313.0,426.0,84.0,0.0,823.0,59.0,,
Shoal Creek,Hart,1656.0,,,,,,1092.0,,,,,,354.0,536.0,202.0,0.0,1092.0,65.9,,
Bio,Hart,1374.0,,,,,,863.0,,,,,,250.0,485.0,128.0,0.0,863.0,62.8,,
