Precinct,County,Registered Voters,Debbie G. Buckner (I) (Dem)_Election Day Votes,Debbie G. Buckner (I) (Dem)_Advanced Voting Votes,Debbie G. Buckner (I) (Dem)_Absentee by Mail Votes,Debbie G. Buckner (I) (Dem)_Provisional Votes,Debbie G. Buckner (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Valley Plains,Harris,785.0,222.0,91.0,85.0,0.0,398.0,398.0,50.7,398.0
Waverly Hall,Harris,2853.0,457.0,571.0,428.0,2.0,1458.0,1458.0,51.1,1458.0
Chalybeate,Meriwether,451.0,134.0,73.0,48.0,0.0,255.0,255.0,56.5,255.0
Gill I,Meriwether,1662.0,352.0,373.0,238.0,1.0,964.0,964.0,58.0,964.0
Gill II,Meriwether,1000.0,167.0,197.0,210.0,0.0,574.0,574.0,57.4,574.0
Greenville,Meriwether,2009.0,169.0,583.0,264.0,0.0,1016.0,1016.0,50.6,1016.0
Gay,Meriwether,411.0,72.0,69.0,45.0,0.0,186.0,186.0,45.3,186.0
Woodbury,Meriwether,1363.0,263.0,306.0,191.0,0.0,760.0,760.0,55.8,760.0
Warm Springs,Meriwether,1161.0,209.0,272.0,123.0,0.0,604.0,604.0,52.0,604.0
Durand,Meriwether,730.0,136.0,147.0,84.0,0.0,367.0,367.0,50.3,367.0
Raleigh,Meriwether,501.0,90.0,128.0,45.0,0.0,263.0,263.0,52.5,263.0
Cove,Meriwether,202.0,68.0,23.0,27.0,0.0,118.0,118.0,58.4,118.0
Faith Tabernacle,Muscogee,4461.0,374.0,1431.0,878.0,0.0,2683.0,2683.0,60.1,2683.0
Canaan,Muscogee,7078.0,206.0,962.0,697.0,0.0,1865.0,1865.0,26.3,1865.0
Holsey/Buena Vista,Muscogee,7613.0,409.0,1947.0,1101.0,0.0,3457.0,3457.0,45.4,3457.0
Psalmond/Mathews,Muscogee,7331.0,440.0,2480.0,1302.0,1.0,4223.0,4223.0,57.6,4223.0
ONeal,Talbot,555.0,101.0,150.0,112.0,0.0,363.0,363.0,65.4,363.0
Valley,Talbot,688.0,133.0,173.0,147.0,0.0,453.0,453.0,65.8,453.0
Junction City,Talbot,437.0,74.0,69.0,122.0,0.0,265.0,265.0,60.6,265.0
Geneva,Talbot,482.0,76.0,84.0,129.0,1.0,290.0,290.0,60.2,290.0
Talbotton,Talbot,884.0,134.0,185.0,221.0,0.0,540.0,540.0,61.1,540.0
Box Springs,Talbot,469.0,108.0,64.0,75.0,0.0,247.0,247.0,52.7,247.0
Flint Hill,Talbot,1048.0,202.0,269.0,219.0,0.0,690.0,690.0,65.8,690.0
