Precinct,County,Registered Voters,Frank Reynolds (I) (Rep)_Election Day Votes,Frank Reynolds (I) (Rep)_Advanced Voting Votes,Frank Reynolds (I) (Rep)_Absentee by Mail Votes,Frank Reynolds (I) (Rep)_Provisional Votes,Frank Reynolds (I) (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,501,919,476,2,1898,1898,
Arnold Mill,Cherokee,4884,867,1686,744,0,3297,3297,
Avery,Cherokee,3592,492,1532,582,0,2606,2606,
Ball Ground,Cherokee,4065,560,1849,401,1,2811,2811,
Bascomb,Cherokee,4115,675,1376,525,0,2576,2576,
Bells,Cherokee,5906,784,1608,759,1,3152,3152,
Booth,Cherokee,3899,468,1461,603,0,2532,2532,
Bradshaw,Cherokee,4491,544,1875,733,0,3152,3152,
Bridgemill,Cherokee,5113,701,2099,735,0,3535,3535,
Canton,Cherokee,8213,763,2597,1381,0,4741,4741,
Carmel,Cherokee,4581,669,1118,585,3,2375,2375,
Clayton,Cherokee,4906,800,1845,674,1,3320,3320,
Conns Creek,Cherokee,895,271,292,72,0,635,635,
Deer Run,Cherokee,3035,653,844,402,1,1900,1900,
Dixie,Cherokee,5733,717,1664,784,0,3165,3165,
Freehome,Cherokee,5790,768,2387,919,0,4074,4074,
Hickory Flat,Cherokee,7334,868,3014,1027,2,4911,4911,
Hightower,Cherokee,3483,517,1518,476,0,2511,2511,
Hillside,Cherokee,3155,419,1242,486,0,2147,2147,
Holly Springs,Cherokee,3262,523,1026,357,1,1907,1907,
Kellogg,Cherokee,5482,883,1524,640,2,3049,3049,
Liberty,Cherokee,8350,946,2933,1071,0,4950,4950,
Little River,Cherokee,7480,792,2300,1494,1,4587,4587,
Macedonia,Cherokee,4853,709,2079,722,0,3510,3510,
Mountain Road,Cherokee,3078,619,1034,432,1,2086,2086,
Neese,Cherokee,7642,914,2330,1154,1,4399,4399,
Oak Grove,Cherokee,3749,645,1034,495,0,2174,2174,
R M Moore,Cherokee,3468,702,1269,429,0,2400,2400,
R T Jones,Cherokee,2525,244,806,258,1,1309,1309,
Rosecreek,Cherokee,3748,581,1359,511,0,2451,2451,
Salacoa,Cherokee,727,281,131,69,0,481,481,
Sixes,Cherokee,3101,473,1133,508,0,2114,2114,
Sutallee,Cherokee,2540,739,820,297,1,1857,1857,
Teasley,Cherokee,7981,1266,3003,983,0,5252,5252,
Toonigh,Cherokee,6641,795,2530,890,0,4215,4215,
Union Hill,Cherokee,4207,865,1559,611,2,3037,3037,
Univeter,Cherokee,5434,634,2240,704,0,3578,3578,
Victoria,Cherokee,3132,614,1004,364,0,1982,1982,
Waleska,Cherokee,2875,602,846,477,0,1925,1925,
Wildcat,Cherokee,3215,575,1157,328,0,2060,2060,
Woodlands,Cherokee,3456,762,863,488,0,2113,2113,
Woodstock,Cherokee,7345,827,2241,954,2,4024,4024,
