Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,373,806,688,0,1867,135,209,188,0,532,2399,,
1-05C JEA Building,Chatham,2106,271,490,399,1,1161,89,126,97,1,313,1474,
1-06C Central Church of Christ2035,Chatham,308,401,388,1,1098,106,121,116,1,344,1442,,
1-08C Grace United Methodist Church1667,Chatham,300,329,237,1,867,96,91,90,0,277,1144,,
1-09C Immanuel Baptist Church 739,Chatham,115,114,101,3,333,28,35,25,0,88,421,,
1-10C St Thomas Episcopal Church1101,Chatham,276,196,196,0,668,100,62,60,2,224,892,,
1-12C Isle of Hope Baptist,Chatham,1909,425,377,337,1,1140,154,143,98,0,395,1535,
1-13C The Sanctuary,Chatham,1396,242,264,201,1,708,81,98,66,0,245,953,
1-14C Compassion Christian Church1718,Chatham,222,380,302,1,905,74,122,96,0,292,1197,,
1-16C Ferguson Ave Baptist,Chatham,2905,506,613,355,5,1479,182,205,123,0,510,1989,
1-17C Islands Christian Church3136,Chatham,402,717,621,1,1741,147,298,205,0,650,2391,,
2-02C Blackshear Community Center1714,Chatham,183,254,200,4,641,69,66,49,5,189,830,,
2-03C W W Law Center,Chatham,1609,195,236,194,2,627,48,60,56,0,164,791,
2-04C Fellowship of Love Church3178,Chatham,390,489,405,1,1285,86,129,179,0,394,1679,,
2-05C Holy Spirit Lutheran Church2079,Chatham,262,422,279,4,967,67,99,82,0,248,1215,,
2-06C Eli Whitney Complex,Chatham,759,107,107,73,1,288,40,26,23,1,90,378,
2-07C Christ Community Church 2808,Chatham,323,494,326,2,1145,102,127,126,0,355,1500,,
2-09C Salvation Army,Chatham,3342,348,630,495,3,1476,120,161,159,1,441,1917,
2-11C Stillwell Towers,Chatham,1900,280,229,197,1,707,73,81,77,0,231,938,
2-12C Williams Court Apts,Chatham,1683,184,307,227,3,721,45,71,63,1,180,901,
3-01C Old Courthouse,Chatham,458,47,86,84,1,218,22,21,30,0,73,291,
3-02C Temple Mickve Israel,Chatham,1598,144,374,328,2,848,57,96,56,0,209,1057,
3-03C Savannah High School,Chatham,1185,142,174,103,3,422,60,49,37,1,147,569,
3-04C First African Baptist Church1558,Chatham,245,187,161,0,593,89,61,75,0,225,818,,
3-05C Aldersgate Youth Center 2107,Chatham,280,310,244,1,835,87,116,77,0,280,1115,,
3-08C Jenkins High School,Chatham,1210,154,248,159,0,561,52,71,61,0,184,745,
3-09C Cokesbury Methodist,Chatham,664,166,114,102,1,383,51,29,27,0,107,490,
3-10C Bible Baptist Church,Chatham,2640,360,415,337,0,1112,120,144,150,2,416,1528,
3-11C Southside Baptist Church1481,Chatham,220,233,163,3,619,64,73,75,0,212,831,,
3-12C Thunderbolt Muni Complex1678,Chatham,319,266,213,0,798,103,96,86,1,286,1084,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,272,408,275,0,955,87,161,90,0,338,1293,
3-14C Oglethorpe Charter Academy2381,Chatham,231,427,349,1,1008,95,184,173,0,452,1460,,
3-15C Eli Whitney Complex,Chatham,816,88,184,196,0,468,36,61,54,0,151,619,
4-02C Frank Murray Comm Center2472,Chatham,324,533,338,0,1195,97,206,103,0,406,1601,,
4-04C Lighthouse Baptist Church2470,Chatham,405,512,381,4,1302,135,175,124,0,434,1736,,
4-05C St Francis Episcopal Church2244,Chatham,417,491,343,0,1251,147,145,96,1,389,1640,,
4-06C First Baptist of the Island2252,Chatham,389,494,353,2,1238,153,194,90,1,438,1676,,
4-07C Wilmington Island UMC,Chatham,3370,475,704,557,3,1739,165,257,155,0,577,2316,
4-08C Wilmington Island Pres Church2678,Chatham,472,600,484,2,1558,147,233,150,0,530,2088,,
4-10C Guard House Comm Ctr,Chatham,1469,352,266,214,2,834,114,76,72,1,263,1097,
4-11C Tybee Island School Cafe1640,Chatham,481,197,234,1,913,155,68,61,0,284,1197,,
4-12C St Peters Episcopal,Chatham,2294,491,428,496,3,1418,144,141,152,0,437,1855,
4-13C Skidaway Island Pres Church2469,Chatham,401,498,637,3,1539,140,144,164,0,448,1987,,
4-14C Skidaway Island Baptist 1744,Chatham,271,318,480,1,1070,114,112,116,2,344,1414,,
4-15C Skidaway Island State Park0,Chatham,232,316,554,3,1105,94,126,156,1,377,1482,,
5-01C Bartlett Middle School,Chatham,1063,160,169,126,0,455,51,55,32,0,138,593,
5-02C Senior Citizens Center,Chatham,783,104,95,101,0,300,24,32,29,1,86,386,
5-03C Butler Presbyterian Church1078,Chatham,153,128,122,5,408,44,31,57,0,132,540,,
5-05C Liberty City Comm Ctr,Chatham,2574,316,398,370,2,1086,114,160,182,0,456,1542,
5-06C Seed Church,Chatham,2598,284,359,278,6,927,61,132,95,1,289,1216,
5-07C Station 1,Chatham,1856,246,327,220,2,795,64,88,70,3,225,1020,
5-08C Savannah Primitive BC,Chatham,1848,204,320,266,2,792,73,120,76,0,269,1061,
5-10C Tatumville Community Center3507,Chatham,435,495,454,5,1389,121,201,196,0,518,1907,,
5-11C Largo-Tibet Elementary,Chatham,3019,294,551,377,6,1228,106,168,150,3,427,1655,
6-01C White Bluff Presbyterian1919,Chatham,248,360,244,5,857,88,107,69,1,265,1122,,
6-02C Windsor Forest Baptist,Chatham,2290,374,467,381,0,1222,154,198,120,0,472,1694,
6-03C Crusader Comm Center,Chatham,2736,350,570,408,2,1330,144,202,177,0,523,1853,
6-05C Windsor Hall,Chatham,1993,271,368,261,0,900,80,119,98,0,297,1197,
6-06C The Light Church,Chatham,1543,196,275,163,0,634,78,102,63,0,243,877,
6-08C Christ Memorial Baptist Church2194,Chatham,239,383,240,2,864,79,135,95,0,309,1173,,
6-09C Trinity Lutheran Church 3319,Chatham,413,718,471,6,1608,149,226,170,1,546,2154,,
6-10C Station 3,Chatham,4184,467,964,673,5,2109,170,334,222,2,728,2837,
6-11C Bamboo Farms,Chatham,5149,573,1002,600,6,2181,190,394,209,3,796,2977,
7-01C Garden City Senior Ctr,Chatham,1542,206,242,170,0,618,86,72,66,0,224,842,
7-03C PB Edwards Gym,Chatham,1290,278,140,111,0,529,112,48,43,0,203,732,
7-04C Lake Shore Comm Ctr,Chatham,3067,441,672,295,1,1409,139,202,105,0,446,1855,
7-05C Woodlawn Baptist Church 1305,Chatham,207,225,93,0,525,62,71,57,0,190,715,,
7-06C Pooler City Hall,Chatham,3555,311,785,371,1,1468,106,284,158,1,549,2017,
7-07C Rothwell Baptist Church 3932,Chatham,285,951,554,6,1796,109,364,205,2,680,2476,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,420,505,222,1,1148,146,231,115,0,492,1640,
7-09C Savannah Holy C of G,Chatham,2823,332,484,364,2,1182,104,188,127,2,421,1603,
7-10C Progressive Rec Center,Chatham,4288,451,904,523,5,1883,144,282,158,2,586,2469,
7-11C Seventh Day Adv Church,Chatham,6469,668,1400,790,8,2866,237,493,238,5,973,3839,
7-12C Pooler Church,Chatham,3334,260,895,487,4,1646,90,321,193,0,604,2250,
7-13C Southside Fire Trng Ctr 2513,Chatham,204,684,556,1,1445,83,257,159,0,499,1944,,
7-14C Coastal Cathedral,Chatham,7572,716,1716,1180,9,3621,240,532,414,1,1187,4808,
7-15C Rice Creek School,Chatham,2564,391,449,233,3,1076,136,178,93,1,408,1484,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,255,1026,623,8,1912,82,344,212,3,641,2553,,
8-01C Civic Center,Chatham,850,67,99,75,3,244,16,34,21,0,71,315,
8-02C Hellenic Center,Chatham,1709,209,336,221,1,767,58,77,48,0,183,950,
8-03C Silk Hope Baptist Church831,Chatham,147,104,74,0,325,60,36,25,0,121,446,,
8-05C W Broad St YMCA,Chatham,1543,211,169,120,1,501,61,48,40,0,149,650,
8-06C Tompkins Rec Center,Chatham,1055,164,115,95,4,378,42,36,58,0,136,514,
8-07C Woodville-Tompkins TI,Chatham,630,95,69,55,1,220,28,34,31,0,93,313,
8-08C Resur of Our Lord Church1704,Chatham,234,182,172,2,590,85,65,98,1,249,839,,
8-09C Moses Jackson Center,Chatham,1362,199,151,133,4,487,67,41,63,3,174,661,
8-10C Carver Heights Comm Ctr 1784,Chatham,257,198,220,0,675,97,67,114,0,278,953,,
8-11C Butler Elementary,Chatham,1386,187,223,237,0,647,59,83,108,0,250,897,
8-12C Beach High School,Chatham,1310,157,192,114,2,465,39,61,41,0,141,606,
8-13C Savannah Christian,Chatham,1022,105,96,62,2,265,45,37,32,0,114,379,
8-15C Garden City Rec Center,Chatham,1622,181,220,157,2,560,49,90,87,1,227,787,
8-16C Royal Cinemas and IMAX,Chatham,3087,265,761,508,1,1535,71,288,181,2,542,2077,
