index,County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
0,Walton,Bold Springs,4653,687,1780,551,2,3020,112,306,259,0,677,3697,
1,Walton,Whatley,1254,241,501,135,0,877,23,50,46,0,119,996,
2,Walton,Walker Park,3858,524,1436,406,0,2366,93,197,171,0,461,2827,
3,Walton,Gratis,1243,328,444,136,0,908,19,35,56,0,110,1018,
4,Walton,Between,4925,550,2111,498,0,3159,100,358,253,0,711,3870,
5,Walton,Walnut Grove,2661,497,925,206,0,1628,36,138,100,0,274,1902,
6,Walton,Loganville North,5225,499,1573,486,3,2561,145,507,308,1,961,3522,
7,Walton,Social Circle,4604,723,1283,338,3,2347,210,374,309,1,894,3241,
8,Walton,South Monroe,3910,268,1201,330,0,1799,100,406,213,0,719,2518,
9,Walton,North Monroe,4818,301,784,241,1,1327,286,677,492,3,1458,2785,
10,Walton,Loganville South,3768,332,1097,397,0,1826,160,383,244,0,787,2613,
11,Walton,West Walton,4219,552,1590,448,0,2590,103,358,203,0,664,3254,
12,Walton,Broken Arrow,4380,584,1662,399,0,2645,62,278,215,0,555,3200,
13,Walton,Bay Creek,3401,349,1397,351,1,2098,57,235,170,0,462,2560,
14,Walton,E Monroe,4119,341,815,220,1,1377,212,439,239,4,894,2271,
15,Walton,W Monroe,2027,243,849,208,0,1300,43,151,93,0,287,1587,
16,Walton,Tara,4050,279,1067,290,1,1637,163,810,365,2,1340,2977,
17,Walton,Mountain,1657,275,588,158,0,1021,41,78,54,0,173,1194,
18,Walton,Jersey,1970,657,590,171,1,1419,35,62,48,0,145,1564,
19,Walton,Blasingame,1115,398,316,97,0,811,30,35,38,1,104,915,
20,Walton,Good Hope,2149,633,643,165,0,1441,46,98,73,0,217,1658,
