,Precinct,County,Registered Voters,Karen Krupp (I) (Rep)_Election Day Votes,Karen Krupp (I) (Rep)_Advanced Voting Votes,Karen Krupp (I) (Rep)_Absentee by Mail Votes,Karen Krupp (I) (Rep)_Provisional Votes,Karen Krupp (I) (Rep)_Choice Total,Total,calc_participation
0,Pembroke,Bryan,2653.0,291.0,859.0,164.0,0.0,1314.0,1314.0,49.5
1,Danielsiding,Bryan,2291.0,271.0,934.0,222.0,0.0,1427.0,1427.0,62.3
2,Ellabell,Bryan,2341.0,404.0,858.0,154.0,1.0,1417.0,1417.0,60.5
3,Black Creek,Bryan,2995.0,394.0,983.0,189.0,1.0,1567.0,1567.0,52.3
4,Ways Station,Bryan,1974.0,222.0,609.0,149.0,1.0,981.0,981.0,49.7
5,RH Rec Complex,Bryan,3264.0,289.0,1077.0,254.0,1.0,1621.0,1621.0,49.7
6,JF Gregory Park,Bryan,2885.0,176.0,1463.0,278.0,0.0,1917.0,1917.0,66.4
7,Keller,Bryan,4270.0,384.0,2035.0,356.0,0.0,2775.0,2775.0,65.0
8,Hwy 144 East,Bryan,5365.0,392.0,2355.0,512.0,1.0,3260.0,3260.0,60.8
9,Public Safety Complex,Bryan,2570.0,266.0,819.0,177.0,1.0,1263.0,1263.0,49.1
