Precinct,County,Registered Voters,Mandi L. Ballinger (I) (Rep)_Election Day Votes,Mandi L. Ballinger (I) (Rep)_Advanced Voting Votes,Mandi L. Ballinger (I) (Rep)_Absentee by Mail Votes,Mandi L. Ballinger (I) (Rep)_Provisional Votes,Mandi L. Ballinger (I) (Rep)_Choice Total,Total,
Bells,Cherokee,5906,781,1589,749,1,3120,3120,
Canton,Cherokee,8213,762,2545,1342,0,4649,4649,
Clayton,Cherokee,4906,794,1819,653,1,3267,3267,
Kellogg,Cherokee,5482,881,1506,624,2,3013,3013,
Oak Grove,Cherokee,3749,644,1029,497,0,2170,2170,
R M Moore,Cherokee,3468,689,1239,420,0,2348,2348,
R T Jones,Cherokee,2525,239,774,242,0,1255,1255,
Salacoa,Cherokee,727,277,132,65,0,474,474,
Sutallee,Cherokee,2540,734,805,288,0,1827,1827,
Teasley,Cherokee,7981,683,1253,371,0,2307,2307,
Univeter,Cherokee,5434,352,1073,379,0,1804,1804,
Waleska,Cherokee,2875,591,826,467,0,1884,1884,
