Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Bold Springs,Walton,4653,668,1735,523,2,2928,98,283,251,0,632,34,46,24,0,104,3664,
Whatley,Walton,1254,238,497,131,0,866,19,45,43,0,107,9,6,3,0,18,991,
Walker Park,Walton,3858,495,1400,390,0,2285,82,192,173,0,447,36,36,10,0,82,2814,
Gratis,Walton,1243,323,427,128,0,878,17,39,54,0,110,10,9,5,0,24,1012,
Between,Walton,4925,525,2059,478,1,3063,87,340,247,0,674,38,57,24,0,119,3856,
Walnut Grove,Walton,2661,474,899,198,0,1571,37,136,94,0,267,22,18,14,0,54,1892,
Loganville North,Walton,5225,479,1513,465,4,2461,130,491,292,0,913,32,62,28,0,122,3496,
Social Circle,Walton,4604,690,1257,311,1,2259,196,358,307,1,862,41,37,17,2,97,3218,
South Monroe,Walton,3910,256,1140,309,0,1705,95,395,202,0,692,17,58,21,0,96,2493,
North Monroe,Walton,4818,286,749,230,1,1266,272,650,487,3,1412,31,51,14,0,96,2774,
Loganville South,Walton,3768,319,1060,371,0,1750,148,362,242,0,752,25,50,20,0,95,2597,
West Walton,Walton,4219,539,1539,424,0,2502,93,346,196,0,635,16,54,18,0,88,3225,
Broken Arrow,Walton,4380,558,1606,383,0,2547,50,280,205,0,535,40,45,18,0,103,3185,
Bay Creek,Walton,3401,335,1355,329,1,2020,54,218,166,0,438,16,52,19,0,87,2545,
E Monroe,Walton,4119,318,782,204,1,1305,194,429,234,3,860,35,40,16,1,92,2257,
W Monroe,Walton,2027,236,827,203,0,1266,40,149,87,0,276,11,18,4,0,33,1575,
Tara,Walton,4050,263,1034,285,1,1583,159,790,355,2,1306,17,42,10,0,69,2958,
Mountain,Walton,1657,268,576,155,0,999,38,80,48,0,166,10,5,7,0,22,1187,
Jersey,Walton,1970,631,572,158,1,1362,31,60,50,0,141,29,18,6,0,53,1556,
Blasingame,Walton,1115,385,307,93,0,785,28,33,35,1,97,10,6,0,0,16,898,
Good Hope,Walton,2149,604,618,153,0,1375,39,93,72,0,204,34,20,6,0,60,1639,
