,Precinct,County,Registered Voters,Al Williams (I) (Dem)_Election Day Votes,Al Williams (I) (Dem)_Advanced Voting Votes,Al Williams (I) (Dem)_Absentee by Mail Votes,Al Williams (I) (Dem)_Provisional Votes,Al Williams (I) (Dem)_Choice Total,Total,calc_participation
0,Riceboro Youth Center,Liberty,1083.0,109.0,389.0,214.0,0.0,712.0,712.0,65.7
1,Lyman Hall School,Liberty,4542.0,372.0,1149.0,648.0,0.0,2169.0,2169.0,47.8
2,Lewis Frasier School,Liberty,4317.0,298.0,1410.0,698.0,0.0,2406.0,2406.0,55.7
3,Memorial Dr East,Liberty,1976.0,144.0,495.0,305.0,3.0,947.0,947.0,47.9
4,Town of Allenhurst,Liberty,2398.0,212.0,832.0,381.0,0.0,1425.0,1425.0,59.4
5,Hinesville,Liberty,1984.0,134.0,521.0,260.0,0.0,915.0,915.0,46.1
6,Liberty County Complex,Liberty,4379.0,266.0,1458.0,610.0,0.0,2334.0,2334.0,53.3
7,Walthourville,Liberty,3016.0,218.0,968.0,383.0,0.0,1569.0,1569.0,52.0
8,Fleming West,Liberty,505.0,56.0,154.0,98.0,0.0,308.0,308.0,61.0
9,Fleming East,Liberty,3239.0,295.0,838.0,308.0,0.0,1441.0,1441.0,44.5
10,Gum Branch,Liberty,3193.0,253.0,768.0,374.0,1.0,1396.0,1396.0,43.7
11,Hinesville Lodge 271,Liberty,2646.0,241.0,733.0,410.0,0.0,1384.0,1384.0,52.3
