,Precinct,County,Registered Voters,Jappy Stringer (I) (Rep)_Election Day Votes,Jappy Stringer (I) (Rep)_Advanced Voting Votes,Jappy Stringer (I) (Rep)_Absentee by Mail Votes,Jappy Stringer (I) (Rep)_Provisional Votes,Jappy Stringer (I) (Rep)_Choice Total,Total,calc_participation
0,Lockhart,Bulloch,720.0,182.0,85.0,29.0,1.0,297.0,297.0,41.2
1,Emit,Bulloch,3360.0,640.0,1032.0,332.0,1.0,2005.0,2005.0,59.7
2,Statesboro,Bulloch,6312.0,271.0,888.0,317.0,1.0,1477.0,1477.0,23.4
3,Portal,Bulloch,1735.0,45.0,60.0,23.0,0.0,128.0,128.0,7.4
4,Fair,Bulloch,6335.0,620.0,2097.0,664.0,3.0,3384.0,3384.0,53.4
5,Church,Bulloch,5793.0,325.0,968.0,392.0,1.0,1686.0,1686.0,29.1
6,Pittman Park,Bulloch,5279.0,453.0,894.0,286.0,0.0,1633.0,1633.0,30.9
7,Leefield,Bulloch,1000.0,377.0,222.0,82.0,1.0,682.0,682.0,68.2
8,Blitch,Bulloch,1947.0,485.0,597.0,212.0,1.0,1295.0,1295.0,66.5
9,Hagin,Bulloch,2403.0,440.0,488.0,196.0,2.0,1126.0,1126.0,46.9
10,Brooklet,Bulloch,3351.0,748.0,1088.0,316.0,2.0,2154.0,2154.0,64.3
11,Stilson,Bulloch,2137.0,631.0,462.0,177.0,1.0,1271.0,1271.0,59.5
12,Bay,Bulloch,1610.0,559.0,377.0,140.0,0.0,1076.0,1076.0,66.8
13,Nevils,Bulloch,1299.0,401.0,287.0,127.0,1.0,816.0,816.0,62.8
14,Sinkhole,Bulloch,488.0,200.0,69.0,48.0,0.0,317.0,317.0,65.0
15,Register,Bulloch,969.0,154.0,81.0,44.0,0.0,279.0,279.0,28.8
