,Precinct,County,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,calc_participation
33,Pittman Park,Bulloch,5279.0,609.0,1099.0,316.0,2.0,2026.0,2026.0,38.4
40,Nevils,Bulloch,1299.0,402.0,293.0,129.0,1.0,825.0,825.0,63.5
39,Bay,Bulloch,1610.0,556.0,377.0,144.0,0.0,1077.0,1077.0,66.9
38,Stilson,Bulloch,2137.0,634.0,459.0,176.0,1.0,1270.0,1270.0,59.4
42,Register,Bulloch,969.0,246.0,176.0,86.0,2.0,510.0,510.0,52.6
37,Brooklet,Bulloch,3351.0,744.0,1095.0,312.0,2.0,2153.0,2153.0,64.2
41,Sinkhole,Bulloch,488.0,196.0,72.0,47.0,0.0,315.0,315.0,64.5
36,Hagin,Bulloch,2403.0,516.0,560.0,230.0,4.0,1310.0,1310.0,54.5
34,Leefield,Bulloch,1000.0,366.0,221.0,80.0,1.0,668.0,668.0,66.8
27,Lockhart,Bulloch,720.0,262.0,129.0,51.0,1.0,443.0,443.0,61.5
28,Emit,Bulloch,3360.0,639.0,1031.0,340.0,1.0,2011.0,2011.0,59.9
29,Statesboro,Bulloch,6312.0,623.0,1648.0,649.0,11.0,2931.0,2931.0,46.4
30,Portal,Bulloch,1735.0,477.0,329.0,161.0,0.0,967.0,967.0,55.7
31,Fair,Bulloch,6335.0,655.0,2102.0,666.0,9.0,3432.0,3432.0,54.2
35,Blitch,Bulloch,1947.0,480.0,593.0,208.0,2.0,1283.0,1283.0,65.9
32,Church,Bulloch,5793.0,591.0,1414.0,644.0,3.0,2652.0,2652.0,45.8
22,Jack Strickland Comm Center,Candler,6300.0,554.0,2627.0,547.0,0.0,3728.0,3728.0,59.2
0,1A,Effingham,1965.0,431.0,712.0,147.0,1.0,1291.0,1291.0,65.7
14,5A,Effingham,2924.0,486.0,1010.0,226.0,2.0,1724.0,1724.0,59.0
13,4C,Effingham,2837.0,470.0,1039.0,247.0,0.0,1756.0,1756.0,61.9
12,4B,Effingham,1888.0,264.0,588.0,150.0,0.0,1002.0,1002.0,53.1
11,4A,Effingham,3726.0,537.0,1396.0,295.0,2.0,2230.0,2230.0,59.8
10,3D,Effingham,3125.0,537.0,1130.0,214.0,4.0,1885.0,1885.0,60.3
9,3C,Effingham,2060.0,338.0,763.0,147.0,1.0,1249.0,1249.0,60.6
8,3B,Effingham,1553.0,329.0,447.0,116.0,0.0,892.0,892.0,57.4
7,3A,Effingham,1398.0,348.0,452.0,108.0,0.0,908.0,908.0,64.9
6,2C,Effingham,4621.0,750.0,1667.0,430.0,3.0,2850.0,2850.0,61.7
5,2B,Effingham,3010.0,590.0,891.0,261.0,1.0,1743.0,1743.0,57.9
4,2A,Effingham,3038.0,683.0,1030.0,264.0,1.0,1978.0,1978.0,65.1
3,1D,Effingham,2031.0,574.0,597.0,134.0,1.0,1306.0,1306.0,64.3
2,1C,Effingham,1446.0,462.0,318.0,90.0,0.0,870.0,870.0,60.2
1,1B,Effingham,3005.0,666.0,983.0,236.0,2.0,1887.0,1887.0,62.8
15,5B,Effingham,3962.0,603.0,1253.0,304.0,1.0,2161.0,2161.0,54.5
16,5C,Effingham,1684.0,283.0,594.0,153.0,1.0,1031.0,1031.0,61.2
21,Adrian,Emanuel,827.0,241.0,166.0,86.0,0.0,493.0,493.0,59.6
20,Nunez,Emanuel,384.0,130.0,83.0,21.0,0.0,234.0,234.0,60.9
19,Stillmore,Emanuel,608.0,162.0,106.0,31.0,0.0,299.0,299.0,49.2
18,Swainsboro,Emanuel,6988.0,819.0,1960.0,644.0,1.0,3424.0,3424.0,49.0
17,Oak Park,Emanuel,686.0,258.0,145.0,44.0,0.0,447.0,447.0,65.2
43,Veterans Community Center,Evans,6135.0,593.0,2231.0,635.0,0.0,3459.0,3459.0,56.4
25,Manassas,Tattnall,265.0,79.0,67.0,10.0,0.0,156.0,156.0,58.9
24,Collins,Tattnall,1482.0,208.0,530.0,120.0,0.0,858.0,858.0,57.9
23,Cobbtown,Tattnall,761.0,228.0,174.0,79.0,0.0,481.0,481.0,63.2
26,District II,Tattnall,2500.0,240.0,878.0,159.0,0.0,1277.0,1277.0,51.1
