,Precinct,County,Registered Voters,David Clark (I) (Rep)_Election Day Votes,David Clark (I) (Rep)_Advanced Voting Votes,David Clark (I) (Rep)_Absentee by Mail Votes,David Clark (I) (Rep)_Provisional Votes,David Clark (I) (Rep)_Choice Total,Taeho Cho (Dem)_Election Day Votes,Taeho Cho (Dem)_Advanced Voting Votes,Taeho Cho (Dem)_Absentee by Mail Votes,Taeho Cho (Dem)_Provisional Votes,Taeho Cho (Dem)_Choice Total,Total,calc_participation
0,PUCKETTS A,Gwinnett,5692.0,324.0,2000.0,673.0,1.0,2998.0,145.0,798.0,465.0,0.0,1408.0,4406.0,77.4
1,SUGAR HILL A,Gwinnett,4654.0,357.0,751.0,299.0,1.0,1408.0,195.0,460.0,353.0,1.0,1009.0,2417.0,51.9
2,SUGAR HILL B,Gwinnett,5596.0,519.0,1200.0,427.0,11.0,2157.0,273.0,909.0,570.0,4.0,1756.0,3913.0,69.9
3,SUGAR HILL C,Gwinnett,5085.0,612.0,1284.0,467.0,1.0,2364.0,220.0,734.0,503.0,0.0,1457.0,3821.0,75.1
4,SUGAR HILL D,Gwinnett,4624.0,318.0,1205.0,343.0,5.0,1871.0,190.0,728.0,437.0,2.0,1357.0,3228.0,69.8
5,PUCKETTS E,Gwinnett,5660.0,289.0,1078.0,439.0,0.0,1806.0,247.0,1119.0,654.0,2.0,2022.0,3828.0,67.6
6,PUCKETTS B,Gwinnett,3096.0,295.0,894.0,266.0,1.0,1456.0,115.0,472.0,281.0,0.0,868.0,2324.0,75.1
7,SUWANEE D,Gwinnett,4732.0,445.0,1319.0,542.0,1.0,2307.0,153.0,699.0,588.0,0.0,1440.0,3747.0,79.2
8,HOG MOUNTAIN C,Gwinnett,4292.0,197.0,517.0,159.0,0.0,873.0,109.0,373.0,264.0,1.0,747.0,1620.0,37.7
9,SUGAR HILL G,Gwinnett,2814.0,294.0,800.0,261.0,0.0,1355.0,73.0,383.0,367.0,1.0,824.0,2179.0,77.4
