,Precinct,County,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total,calc_participation
36,Toccoa,Fannin,3553.0,500.0,1196.0,493.0,4.0,2193.0,2193.0,61.7
34,Skeniah,Fannin,331.0,119.0,64.0,48.0,2.0,233.0,233.0,70.4
33,Noontootla,Fannin,839.0,185.0,244.0,161.0,0.0,590.0,590.0,70.3
32,Morganton,Fannin,2067.0,475.0,613.0,266.0,2.0,1356.0,1356.0,65.6
31,Mobile,Fannin,1160.0,314.0,302.0,147.0,0.0,763.0,763.0,65.8
30,Mineral Bluff,Fannin,1817.0,350.0,602.0,259.0,0.0,1211.0,1211.0,66.6
29,Hothouse,Fannin,1290.0,271.0,398.0,164.0,7.0,840.0,840.0,65.1
28,Hemptown,Fannin,1336.0,352.0,362.0,143.0,3.0,860.0,860.0,64.4
27,Flinthill,Fannin,3202.0,679.0,841.0,401.0,1.0,1922.0,1922.0,60.0
26,Fairplay,Fannin,1262.0,319.0,328.0,141.0,0.0,788.0,788.0,62.4
25,Colwell,Fannin,1105.0,282.0,325.0,153.0,0.0,760.0,760.0,68.8
35,Sugar Creek,Fannin,2437.0,393.0,857.0,320.0,1.0,1571.0,1571.0,64.5
0,Ellijay South,Gilmer,3172.0,391.0,1163.0,390.0,2.0,1946.0,1946.0,61.3
1,Cartecay,Gilmer,1598.0,402.0,474.0,200.0,2.0,1078.0,1078.0,67.5
2,Tails Creek,Gilmer,1782.0,459.0,470.0,146.0,0.0,1075.0,1075.0,60.3
3,Town Creek,Gilmer,1234.0,317.0,334.0,107.0,0.0,758.0,758.0,61.4
4,Leaches,Gilmer,2939.0,544.0,976.0,341.0,2.0,1863.0,1863.0,63.4
11,Big Creek,Gilmer,1479.0,372.0,409.0,194.0,0.0,975.0,975.0,65.9
5,Cherry Log,Gilmer,926.0,268.0,239.0,119.0,0.0,626.0,626.0,67.6
6,Boardtown,Gilmer,1391.0,305.0,508.0,209.0,3.0,1025.0,1025.0,73.7
7,Mountaintown,Gilmer,1139.0,277.0,365.0,132.0,1.0,775.0,775.0,68.0
8,East Ellijay,Gilmer,1655.0,246.0,639.0,221.0,0.0,1106.0,1106.0,66.8
9,Ellijay North,Gilmer,1810.0,289.0,605.0,201.0,1.0,1096.0,1096.0,60.6
12,Ellijay Northeast,Gilmer,1851.0,237.0,715.0,223.0,0.0,1175.0,1175.0,63.5
10,Yukon,Gilmer,1288.0,357.0,359.0,122.0,0.0,838.0,838.0,65.1
13,Yellow Creek,Pickens,3571.0,820.0,1034.0,394.0,0.0,2248.0,2248.0,63.0
24,Tate,Pickens,2651.0,681.0,815.0,224.0,1.0,1721.0,1721.0,64.9
22,Talking Rock,Pickens,1781.0,465.0,487.0,152.0,3.0,1107.0,1107.0,62.2
21,Nelson,Pickens,1474.0,438.0,384.0,105.0,0.0,927.0,927.0,62.9
20,Ludville,Pickens,721.0,308.0,95.0,35.0,0.0,438.0,438.0,60.7
19,Jerusalem,Pickens,1145.0,504.0,200.0,71.0,0.0,775.0,775.0,67.7
17,Hill,Pickens,2042.0,556.0,618.0,182.0,2.0,1358.0,1358.0,66.5
16,Refuge,Pickens,2490.0,568.0,796.0,210.0,0.0,1574.0,1574.0,63.2
15,Appalachian,Pickens,1933.0,416.0,631.0,174.0,0.0,1221.0,1221.0,63.2
14,Sharptop,Pickens,2616.0,606.0,747.0,383.0,0.0,1736.0,1736.0,66.4
23,Jasper,Pickens,2517.0,487.0,693.0,195.0,1.0,1376.0,1376.0,54.7
18,Hinton,Pickens,825.0,311.0,147.0,34.0,0.0,492.0,492.0,59.6
