index,County,Precinct,Registered Voters,Chuck Hufstetler (I) (Rep)_Election Day Votes,Chuck Hufstetler (I) (Rep)_Advanced Voting Votes,Chuck Hufstetler (I) (Rep)_Absentee by Mail Votes,Chuck Hufstetler (I) (Rep)_Provisional Votes,Chuck Hufstetler (I) (Rep)_Choice Total,Charles DeYoung (Dem)_Election Day Votes,Charles DeYoung (Dem)_Advanced Voting Votes,Charles DeYoung (Dem)_Absentee by Mail Votes,Charles DeYoung (Dem)_Provisional Votes,Charles DeYoung (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,322,1171,353,9,1855,95,268,189,2,554,2409,
1,Floyd,Armuchee,1269,275,396,119,1,791,30,66,36,0,132,923,
2,Floyd,Barkers,2355,391,944,204,6,1545,40,93,64,0,197,1742,
3,Floyd,Cave Spring,1617,417,335,146,2,900,58,56,87,2,203,1103,
4,Floyd,Chulio,1155,275,338,102,9,724,34,41,51,0,126,850,
5,Floyd,Etowah,4946,597,1937,479,9,3022,91,351,248,1,691,3713,
6,Floyd,Everett Springs,421,171,72,27,4,274,25,8,18,0,51,325,
7,Floyd,Floyd Springs,1666,408,581,151,22,1162,26,62,36,2,126,1288,
8,Floyd,Fosters Mill,971,279,279,74,1,633,19,30,25,0,74,707,
9,Floyd,Garden Lakes,2261,213,610,206,5,1034,84,209,104,2,399,1433,
10,Floyd,Glenwood,3635,503,1078,294,1,1876,106,217,154,2,479,2355,
11,Floyd,Howell,1492,425,414,135,1,975,23,58,18,0,99,1074,
12,Floyd,East Lindale,3398,437,1131,309,2,1879,99,252,132,0,483,2362,
13,Floyd,Mt Alto North,5096,242,1203,355,6,1806,247,680,375,12,1314,3120,
14,Floyd,Mt Alto South,3923,304,950,302,5,1561,235,467,247,0,949,2510,
15,Floyd,North Carolina,1865,266,564,136,2,968,40,94,60,2,196,1164,
16,Floyd,Riverside,826,156,212,50,4,422,36,67,25,0,128,550,
17,Floyd,East Rome,4238,283,874,332,2,1491,166,598,301,2,1067,2558,
18,Floyd,North Rome,3369,152,710,348,2,1212,150,386,338,5,879,2091,
19,Floyd,South Rome,1600,48,133,55,1,237,143,246,185,2,576,813,
20,Floyd,Texas Valley,762,263,221,65,6,555,14,25,29,0,68,623,
21,Floyd,Vanns Valley,896,141,190,88,4,423,37,52,18,0,107,530,
22,Floyd,Watters,3566,646,1198,303,6,2153,83,160,106,6,355,2508,
23,Floyd,West Lindale,2929,478,833,223,0,1534,85,167,106,0,358,1892,
24,Floyd,Town Rome,3034,183,753,264,0,1200,125,360,216,2,703,1903,
