index,County,Precinct,Registered Voters,Bruce E. Wright (I) (Rep)_Election Day Votes,Bruce E. Wright (I) (Rep)_Advanced Voting Votes,Bruce E. Wright (I) (Rep)_Absentee by Mail Votes,Bruce E. Wright (I) (Rep)_Provisional Votes,Bruce E. Wright (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,767,1907,631,2,3307,3307,
1,Walton,Whatley,1254,255,519,155,0,929,929,
2,Walton,Walker Park,3858,584,1531,475,0,2590,2590,
3,Walton,Gratis,1243,345,462,155,0,962,962,
4,Walton,Between,4925,607,2288,600,1,3496,3496,
5,Walton,Walnut Grove,2661,529,991,255,0,1775,1775,
6,Walton,Loganville North,5225,579,1799,617,4,2999,2999,
7,Walton,Social Circle,4604,839,1477,445,3,2764,2764,
8,Walton,South Monroe,3910,330,1419,430,0,2179,2179,
9,Walton,North Monroe,4818,477,1155,454,3,2089,2089,
10,Walton,Loganville South,3768,431,1278,496,0,2205,2205,
11,Walton,West Walton,4219,614,1778,538,0,2930,2930,
12,Walton,Broken Arrow,4380,619,1809,485,0,2913,2913,
13,Walton,Bay Creek,3401,380,1513,399,1,2293,2293,
14,Walton,E Monroe,4119,474,1068,333,2,1877,1877,
15,Walton,W Monroe,2027,268,923,254,0,1445,1445,
16,Walton,Tara,4050,358,1399,430,1,2188,2188,
17,Walton,Mountain,1657,304,626,185,0,1115,1115,
18,Walton,Jersey,1970,689,630,201,1,1521,1521,
19,Walton,Blasingame,1115,412,335,122,1,870,870,
20,Walton,Good Hope,2149,661,684,190,0,1535,1535,
