index,County,Precinct,Registered Voters,Melba H. Fiveash (I) (Rep)_Election Day Votes,Melba H. Fiveash (I) (Rep)_Advanced Voting Votes,Melba H. Fiveash (I) (Rep)_Absentee by Mail Votes,Melba H. Fiveash (I) (Rep)_Provisional Votes,Melba H. Fiveash (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,231,803,645,5,1684,1684,
1,Ware,200A,2730,249,919,225,5,1398,1398,
2,Ware,200B,976,66,205,99,3,373,373,
3,Ware,300,4061,433,1579,423,8,2443,2443,
4,Ware,304,1269,198,440,85,1,724,724,
5,Ware,400,3538,421,1569,379,6,2375,2375,
6,Ware,404,373,158,71,37,1,267,267,
7,Ware,405,636,208,196,49,1,454,454,
8,Ware,406,1659,312,695,126,1,1134,1134,
9,Ware,407,505,208,115,30,0,353,353,
10,Ware,408,523,204,118,25,0,347,347,
11,Ware,409,984,228,365,76,0,669,669,
